Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
01M0RWA6_lower_right,799.0,327.0,813.4400024414062,325.87701416015625,14.48,1.16
4ZIK093I_lower_right,852.0,464.0,844.1599731445312,457.5748596191406,10.14,0.81
01FPR7JA_upper_left,774.0,270.0,775.0399780273438,272.0,2.25,0.18
D8FLAW28_upper_left,781.0,293.0,783.4016723632812,293.0610656738281,2.4,0.19
7IKF2TIW_upper_right,810.0,294.0,810.64990234375,295.3793640136719,1.52,0.12
014JV25R_lower_right,774.0,301.0,773.2472534179688,306.3144226074219,5.37,0.43
013NXHPV_lower_right,810.0,288.0,808.1195678710938,286.2753601074219,2.55,0.2
0155EZ2V_upper_left,721.0,321.0,718.7765502929688,316.54559326171875,4.98,0.4
0Y047OQK_upper_right,844.0,402.0,846.719970703125,398.7200012207031,4.26,0.34
API3O9JV_upper_left,759.0,285.0,759.298095703125,282.239990234375,2.78,0.22
018VF1PV_lower_right,808.0,365.0,806.0000610351562,363.6736145019531,2.4,0.19
019CP4YZ_lower_right,820.0,330.0,819.4440307617188,327.6649169921875,2.4,0.19
50O9GUWT_lower_right,775.0,294.0,776.3200073242188,296.4339904785156,2.77,0.22
01AFES4K_lower_right,801.0,379.0,802.4401245117188,381.17974853515625,2.61,0.21
EB6DQGAR_lower_left,817.0,408.0,823.6799926757812,408.66046142578125,6.71,0.54
GRG0112S_lower_right,810.0,323.0,812.1599731445312,322.13836669921875,2.33,0.19
017U1TED_lower_left,781.0,327.0,781.5647583007812,324.5539245605469,2.51,0.2
AJP25A9G_lower_right,856.0,357.0,855.6799926757812,352.6399841308594,4.37,0.35
014RZUKF_lower_left,795.0,370.0,791.6799926757812,371.7568359375,3.76,0.3
BBHLWUPK_upper_right,754.0,260.0,751.9436645507812,260.4873352050781,2.11,0.17
01533UH2_lower_left,854.0,344.0,853.525634765625,345.0671691894531,1.17,0.09
016XWJ8X_lower_right,808.0,346.0,799.5218505859375,342.7975769042969,9.06,0.72
0142CYK4_lower_right,786.0,330.0,788.0393676757812,335.80523681640625,6.15,0.49
019TTV1D_upper_right,786.0,316.0,791.66943359375,314.6205749511719,5.83,0.47
01KEK90A_lower_right,754.0,321.0,753.2799682617188,317.3701171875,3.7,0.3
0EAKT1CU_upper_left,794.0,304.0,790.0089111328125,307.6592712402344,5.41,0.43
01KKD7YK_lower_right,727.0,337.0,730.1373901367188,340.8890075683594,5.0,0.4
G73V8OVW_lower_right,810.0,348.0,810.832275390625,348.86590576171875,1.2,0.1
58M9IXQ2_upper_left,776.0,224.0,776.3200073242188,227.19944763183594,3.22,0.26
0142CYK4_upper_left,745.0,296.0,746.8800048828125,297.9075012207031,2.68,0.21
01A6HG3N_upper_left,802.0,267.0,800.6399536132812,270.4146728515625,3.68,0.29
015KRWDT_upper_right,752.0,292.0,750.593017578125,292.3402404785156,1.45,0.12
01CCUKV4_upper_left,798.0,287.0,799.095703125,286.0799865722656,1.43,0.11
HWO9T72O_lower_right,770.0,342.0,776.5929565429688,345.4927978515625,7.46,0.6
C2SF98X5_lower_right,811.0,496.0,811.0706176757812,495.37310791015625,0.63,0.05
AV3JBM98_upper_right,851.0,343.0,852.4373168945312,346.1625061035156,3.47,0.28
01MAVT6A_lower_right,771.0,326.0,770.2388305664062,323.4912109375,2.62,0.21
GANLQSL1_upper_left,829.0,343.0,824.9599609375,344.16827392578125,4.21,0.34
01AKES86_upper_right,798.0,297.0,797.459228515625,299.897216796875,2.95,0.24
01M6A1CH_upper_right,767.0,269.0,764.7999877929688,273.1882019042969,4.73,0.38
014JV25R_upper_left,752.0,282.0,752.0,278.3999938964844,3.6,0.29
019Z57FF_upper_right,779.0,298.0,780.4813232421875,300.7102966308594,3.09,0.25
0175DC9K_upper_left,791.0,293.0,789.0934448242188,294.5833740234375,2.48,0.2
8OHPQ7X8_lower_right,751.0,327.0,750.719970703125,325.0023193359375,2.02,0.16
015DXGZH_lower_right,773.0,306.0,773.760009765625,307.3975524902344,1.59,0.13
DNSRP767_upper_right,820.0,278.0,819.8399658203125,275.7613525390625,2.24,0.18
AYSCFCO8_upper_left,799.0,267.0,798.0799560546875,270.7200012207031,3.83,0.31
015KFJV6_lower_right,818.0,324.0,819.8399658203125,323.47198486328125,1.91,0.15
4I10EMWA_lower_left,768.0,385.0,769.9160766601562,384.18768310546875,2.08,0.17
0175DC9K_lower_right,826.0,362.0,823.1468505859375,360.8048095703125,3.09,0.25
H79I7NHI_lower_right,747.0,305.0,747.6075439453125,306.4237060546875,1.55,0.12
DLVODLKR_lower_right,806.0,392.0,807.8984375,389.89666748046875,2.83,0.23
0VYQUKGQ_upper_left,790.0,392.0,785.6710815429688,385.91998291015625,7.46,0.6
01F4RGN8_upper_right,812.0,298.0,814.6305541992188,300.1600036621094,3.4,0.27
014RZUKF_upper_left,737.0,273.0,739.2000122070312,273.20703125,2.21,0.18
28Q7CM3T_upper_left,860.0,381.0,859.2648315429688,383.3789367675781,2.49,0.2
GRG0112S_upper_right,822.0,287.0,821.08544921875,286.0802307128906,1.3,0.1
013VGW18_lower_left,780.0,354.0,783.3702392578125,350.1756591796875,5.1,0.41
013JX8W4_lower_left,830.0,328.0,827.5199584960938,326.52484130859375,2.89,0.23
016G9TFH_upper_right,796.0,289.0,798.991943359375,288.6399841308594,3.01,0.24
8XVU7PN9_upper_left,795.0,399.0,790.5213012695312,397.5,4.72,0.38
26CY2H2Q_upper_right,754.0,284.0,752.0554809570312,281.8074951171875,2.93,0.23
4ZIK093I_upper_left,870.0,378.0,864.7113037109375,381.0841979980469,6.12,0.49
0VFZZY32_lower_left,781.0,432.0,783.5067138671875,429.17962646484375,3.77,0.3
6I8A5049_upper_right,757.0,304.0,753.2799682617188,307.6477355957031,5.21,0.42
017FADFV_upper_right,765.0,273.0,764.7999877929688,273.84405517578125,0.87,0.07
0171X5EV_lower_left,791.0,343.0,789.1199951171875,345.31939697265625,2.99,0.24
0148UTKX_lower_left,816.0,337.0,820.70654296875,338.5832824707031,4.97,0.4
DVVHA02D_lower_right,733.0,434.0,733.2737426757812,434.3614501953125,0.45,0.04
4OPR2WF4_lower_right,755.0,270.0,750.719970703125,270.9088134765625,4.38,0.35
552HVG7E_upper_left,798.0,256.0,795.4281005859375,255.37242126464844,2.65,0.21
0165W7J4_lower_left,775.0,325.0,778.0073852539062,323.6105041503906,3.31,0.26
019NJEW6_upper_right,741.0,288.0,742.5792236328125,286.8000793457031,1.98,0.16
FA7LBP95_upper_left,783.0,259.0,783.5715942382812,260.47998046875,1.59,0.13
EBSXE6SY_lower_right,773.0,315.0,774.2890625,313.23065185546875,2.19,0.18
01HMZ9RN_upper_left,772.0,282.0,773.9931030273438,279.61285400390625,3.11,0.25
01JZF0KX_lower_right,805.0,340.0,796.1668090820312,337.65850830078125,9.14,0.73
01E5PXS8_upper_left,773.0,302.0,774.5595092773438,306.2450866699219,4.52,0.36
013Z78FX_lower_right,821.0,372.0,820.1077880859375,374.4267883300781,2.59,0.21
01909P9K_upper_left,784.0,292.0,785.4005126953125,291.4860534667969,1.49,0.12
C3TQ47Z0_lower_right,749.0,352.0,748.7067260742188,350.24700927734375,1.78,0.14
01KXSC9K_lower_right,866.0,419.0,864.3535766601562,419.56475830078125,1.74,0.14
01EDMPPZ_lower_right,801.0,333.0,796.4048461914062,331.8257751464844,4.74,0.38
0U1LI1CB_upper_right,838.0,366.0,835.6404418945312,368.0,3.09,0.25
014M2HZD_lower_left,828.0,343.0,826.3421020507812,344.1988525390625,2.05,0.16
EKITH3BB_upper_left,869.0,343.0,864.6399536132812,344.1899108886719,4.52,0.36
014WKP6A_lower_right,830.0,362.0,826.2643432617188,360.1698303222656,4.16,0.33
01AS9ER0_upper_left,769.0,277.0,764.1849975585938,275.6884460449219,4.99,0.4
6L4N5MA2_upper_left,874.0,401.0,869.8770141601562,400.0982971191406,4.22,0.34
38JDN4ZV_lower_right,751.0,335.0,750.3325805664062,335.82806396484375,1.06,0.08
2HVVCR7B_upper_right,767.0,386.0,766.7117919921875,387.84527587890625,1.87,0.15
CQZX40I5_lower_left,794.0,346.0,796.5943603515625,347.656005859375,3.08,0.25
015DUP26_upper_right,725.0,284.0,724.3248901367188,283.3435974121094,0.94,0.08
EUCFQ9KW_lower_left,770.0,360.0,769.9407348632812,357.3799133300781,2.62,0.21
20AHRBL3_upper_left,824.0,277.0,823.6799926757812,275.61322021484375,1.42,0.11
01KRESY6_upper_right,795.0,281.0,789.4554443359375,278.3131103515625,6.16,0.49
EA8SBGX4_lower_right,798.0,339.0,789.4490356445312,337.79779052734375,8.64,0.69
00OMSZGW_lower_left,777.0,492.0,781.6038818359375,492.9103088378906,4.69,0.38
CUOT8S6L_upper_left,752.0,376.0,750.197021484375,379.1318359375,3.61,0.29
2XV86U1F_upper_right,738.0,249.0,740.47998046875,248.89450073242188,2.48,0.2
CZ0XDR02_upper_right,815.0,266.0,812.69287109375,269.5043640136719,4.2,0.34
014ZTSJ8_upper_right,760.0,286.0,757.2816772460938,285.4736022949219,2.77,0.22
211UTGV1_upper_left,876.0,368.0,869.9021606445312,367.3703918457031,6.13,0.49
5NMDP9FJ_upper_left,804.0,281.0,801.687744140625,278.4217529296875,3.46,0.28
018RSPYF_upper_left,771.0,303.0,771.6476440429688,306.9994812011719,4.05,0.32
ANLLPLV7_lower_left,761.0,328.0,754.5599975585938,325.64508056640625,6.86,0.55
01A6GW4A_upper_left,823.0,267.0,821.8359375,270.7200012207031,3.9,0.31
BWWLPBF7_upper_right,804.0,277.0,803.2000122070312,275.5610656738281,1.65,0.13
BEONHKS1_upper_left,863.0,374.0,854.3999633789062,378.1130676269531,9.53,0.76
013H18FF_lower_left,794.0,352.0,805.7764892578125,351.3459777832031,11.79,0.94
0154PPVX_upper_right,747.0,277.0,749.0374145507812,277.1199951171875,2.04,0.16
01E1XHG8_lower_left,829.0,339.0,827.2669067382812,342.6081848144531,4.0,0.32
01CCTTK4_upper_left,730.0,281.0,732.4835815429688,279.353271484375,2.98,0.24
8OHPQ7X8_upper_left,730.0,293.0,731.337890625,293.7599792480469,1.54,0.12
C2SF98X5_upper_right,848.0,374.0,848.0,378.239990234375,4.24,0.34
3EIXXI7Z_upper_right,771.0,261.0,769.9199829101562,262.6763000488281,1.99,0.16
3JCUF41E_upper_left,759.0,284.0,757.1199951171875,280.74334716796875,3.76,0.3
019GEJTN_upper_left,718.0,317.0,714.9020385742188,314.239990234375,4.15,0.33
4MC4KRQV_lower_right,785.0,343.0,785.1984252929688,345.3130798339844,2.32,0.19
0154T9CN_upper_left,813.0,271.0,812.3865356445312,271.8311767578125,1.03,0.08
014S002X_upper_left,796.0,298.0,789.51123046875,301.23699951171875,7.25,0.58
12MM6PD7_lower_right,816.0,355.0,817.2799682617188,352.3104553222656,2.98,0.24
017APYC4_upper_left,758.0,270.0,754.5599975585938,272.7839050292969,4.43,0.35
AQLXAN8L_lower_right,815.0,371.0,817.189697265625,371.4319763183594,2.23,0.18
01FPR7JA_lower_left,819.0,342.0,820.1515502929688,343.67437744140625,2.03,0.16
