Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
GNR6QR3P_lower_right,795.0,350.0,791.6799926757812,350.474365234375,3.35,0.27
5LP835GA_upper_right,801.0,385.0,798.2642211914062,383.5707702636719,3.09,0.25
0191WKPV_lower_right,758.0,330.0,758.3999633789062,332.6113586425781,2.64,0.21
01E5XG8Z_lower_left,800.0,329.0,799.3599853515625,334.7200012207031,5.76,0.46
01ETW4JZ_upper_right,840.0,287.0,839.1351318359375,283.7392883300781,3.37,0.27
DEBDX44O_upper_right,843.0,373.0,859.5199584960938,375.56243896484375,16.72,1.34
01FURZ62_lower_right,769.0,312.0,784.0,314.46697998046875,15.2,1.22
EB6DQGAR_lower_right,835.0,408.0,832.6399536132812,412.8987121582031,5.44,0.44
0145NKWZ_lower_left,848.0,352.0,851.896728515625,351.3599853515625,3.95,0.32
MNIAB8K3_lower_left,792.0,336.0,793.1776123046875,340.4275207519531,4.58,0.37
0158T9ED_upper_left,800.0,255.0,799.45263671875,251.54977416992188,3.49,0.28
013NXP1H_upper_left,776.0,268.0,780.1599731445312,270.7248229980469,4.97,0.4
9GSQBATD_lower_right,799.0,345.0,796.8370361328125,343.80596923828125,2.47,0.2
0AAQ6BO3_upper_right,803.0,278.0,801.9199829101562,277.7635803222656,1.11,0.09
HZH8DYC7_lower_right,864.0,400.0,862.0799560546875,395.3779602050781,5.0,0.4
015WW8D6_lower_right,779.0,371.0,775.0399780273438,369.92919921875,4.1,0.33
0169NHT6_upper_left,830.0,283.0,827.5706787109375,281.2886657714844,2.97,0.24
ANLLPLV7_upper_left,736.0,314.0,739.2000122070312,313.77294921875,3.21,0.26
0145NKWZ_upper_right,842.0,272.0,841.7770385742188,271.0260009765625,1.0,0.08
KBGVMAF7_upper_left,813.0,240.0,801.9199829101562,234.1734161376953,12.52,1.0
01HMZ9RN_lower_right,785.0,345.0,786.5599975585938,344.9599914550781,1.56,0.12
