Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
GNR6QR3P_lower_right,795.0,350.0,790.3999633789062,351.3599853515625,4.8,0.38
5LP835GA_upper_right,801.0,385.0,798.0799560546875,383.3599853515625,3.35,0.27
0191WKPV_lower_right,758.0,330.0,757.1199951171875,333.44000244140625,3.55,0.28
01E5XG8Z_lower_left,800.0,329.0,796.9191284179688,333.44000244140625,5.4,0.43
01ETW4JZ_upper_right,840.0,287.0,848.0,284.79998779296875,8.3,0.66
DEBDX44O_upper_right,843.0,373.0,859.5199584960938,373.1199951171875,16.52,1.32
01FURZ62_lower_right,769.0,312.0,781.4400024414062,314.239990234375,12.64,1.01
EB6DQGAR_lower_right,835.0,408.0,832.8488159179688,410.239990234375,3.11,0.25
0145NKWZ_lower_left,848.0,352.0,849.2799682617188,352.6399841308594,1.43,0.11
MNIAB8K3_lower_left,792.0,336.0,790.3999633789062,341.1199951171875,5.36,0.43
0158T9ED_upper_left,800.0,255.0,796.7999877929688,254.0800018310547,3.33,0.27
013NXP1H_upper_left,776.0,268.0,777.5999755859375,269.44000244140625,2.15,0.17
9GSQBATD_lower_right,799.0,345.0,794.239990234375,344.9599914550781,4.76,0.38
0AAQ6BO3_upper_right,803.0,278.0,799.3599853515625,278.5285949707031,3.68,0.29
HZH8DYC7_lower_right,864.0,400.0,860.8079223632812,396.1600036621094,4.99,0.4
015WW8D6_lower_right,779.0,371.0,771.351806640625,370.55999755859375,7.66,0.61
0169NHT6_upper_left,830.0,283.0,827.6742553710938,284.1437683105469,2.59,0.21
ANLLPLV7_upper_left,736.0,314.0,737.9199829101562,314.239990234375,1.93,0.15
0145NKWZ_upper_right,842.0,272.0,841.65966796875,269.3037414550781,2.72,0.22
KBGVMAF7_upper_left,813.0,240.0,801.9769897460938,232.3199920654297,13.43,1.07
01HMZ9RN_lower_right,785.0,345.0,784.0,343.67999267578125,1.66,0.13
01ETW4JZ_lower_left,843.0,337.0,842.8800048828125,338.55999755859375,1.56,0.12
013ZD6EX_upper_right,723.0,304.0,722.7874755859375,302.7200012207031,1.3,0.1
01FAYE3T_upper_right,765.0,280.0,767.3599853515625,279.67999267578125,2.38,0.19
0158T9ED_lower_right,830.0,351.0,827.5199584960938,352.6399841308594,2.97,0.24
BC0OWLNW_lower_left,816.0,411.0,817.6749877929688,412.79998779296875,2.46,0.2
015WW8D6_upper_left,729.0,259.0,723.9180908203125,261.7599792480469,5.78,0.46
01G1AKV2_lower_right,820.0,379.0,821.1199951171875,379.5199890136719,1.23,0.1
015WXFRN_upper_right,786.0,297.0,789.1199951171875,298.8800048828125,3.64,0.29
0158T9ED_upper_right,798.0,255.0,793.119384765625,255.306640625,4.89,0.39
IHKL3Y8N_lower_left,790.0,376.0,790.440673828125,375.67999267578125,0.54,0.04
4J24X0ES_lower_right,819.0,478.0,824.9602661132812,479.3599853515625,6.11,0.49
DEBDX44O_upper_left,856.0,364.0,855.6799926757812,361.6000061035156,2.42,0.19
01E5XG8Z_upper_right,787.0,282.0,785.2799682617188,280.9599914550781,2.01,0.16
013NXP1H_upper_right,732.0,255.0,730.239990234375,255.36000061035156,1.8,0.14
0KIUZ4G5_lower_left,872.0,354.0,892.7999877929688,352.6399841308594,20.84,1.67
LGADV15G_lower_right,802.0,353.0,796.7999877929688,352.6399841308594,5.21,0.42
CBSF6Q84_lower_right,752.0,322.0,754.5599975585938,316.79998779296875,5.8,0.46
01ETW4JZ_upper_left,832.0,286.0,827.62890625,284.79998779296875,4.53,0.36
0148UTKX_upper_left,785.0,327.0,782.8477172851562,323.1999816894531,4.37,0.35
DEBDX44O_lower_right,840.0,523.0,842.8800048828125,525.6790771484375,3.93,0.31
013NXP1H_lower_left,816.0,357.0,817.3968505859375,353.91998291015625,3.38,0.27
E552BK9X_upper_right,821.0,252.0,819.9814453125,248.95999145507812,3.21,0.26
0VFZZY32_lower_left,781.0,432.0,782.8895874023438,430.7200012207031,2.28,0.18
014ZTUSK_lower_left,816.0,351.0,816.0,350.9989013671875,0.0,0.0
01KRCSKD_upper_left,832.0,312.0,827.5199584960938,310.3999938964844,4.76,0.38
JJEIMAPR_lower_right,844.0,422.0,848.166259765625,423.03997802734375,4.29,0.34
IHKL3Y8N_upper_left,770.0,311.0,768.6801147460938,309.1199951171875,2.3,0.18
56R9FBMK_lower_right,803.0,330.0,800.6399536132812,336.0,6.45,0.52
