Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
01CCUKV4_upper_right,799.0,283.0,797.9094848632812,284.08203125,1.54,0.12
01CCTTK4_lower_right,763.0,330.0,771.3934326171875,330.90576171875,8.44,0.68
01E1XHG8_upper_right,826.0,291.0,833.142333984375,292.1320495605469,7.23,0.58
01CDZ2WA_upper_left,764.0,267.0,762.2791748046875,268.8342590332031,2.52,0.2
0U1LI1CB_lower_right,781.0,402.0,769.3938598632812,394.96978759765625,13.57,1.09
0OTKQ5J9_upper_right,776.0,255.0,775.929931640625,255.04380798339844,0.08,0.01
01CCUKV4_lower_left,869.0,372.0,870.2949829101562,373.041748046875,1.66,0.13
01A91JH6_upper_left,771.0,297.0,771.6234741210938,296.77606201171875,0.66,0.05
01AS72AN_lower_right,778.0,340.0,774.238525390625,342.2103576660156,4.36,0.35
01CDZ2WA_upper_right,774.0,263.0,748.913330078125,265.859619140625,25.25,2.02
01CJ68G2_upper_right,829.0,278.0,831.664794921875,279.309814453125,2.97,0.24
01ADUNMV_upper_right,825.0,316.0,826.3543701171875,317.332763671875,1.9,0.15
01AFES4K_lower_left,805.0,380.0,787.03125,383.1589660644531,18.24,1.46
0VYQUKGQ_upper_right,782.0,387.0,782.8585205078125,388.4721374511719,1.7,0.14
01E1XHG8_lower_right,838.0,341.0,805.1326904296875,337.82318115234375,33.02,2.64
0TMOBYXS_upper_right,740.0,264.0,747.6605224609375,264.05206298828125,7.66,0.61
0VFZZY32_upper_right,790.0,383.0,792.0913696289062,383.4079284667969,2.13,0.17
01DXDP2R_upper_left,722.0,274.0,721.7196655273438,275.8872985839844,1.91,0.15
01E5PXS8_lower_left,784.0,333.0,784.0350341796875,334.2230529785156,1.22,0.1
01AS9ER0_lower_right,816.0,349.0,803.8969116210938,344.9515686035156,12.76,1.02
01ADYT70_lower_left,779.0,364.0,776.0104370117188,364.36419677734375,3.01,0.24
0U1LI1CB_upper_left,828.0,373.0,826.9105834960938,371.3270568847656,2.0,0.16
01A9282X_lower_left,766.0,346.0,763.3232421875,348.3609313964844,3.57,0.29
01A6GW4A_lower_left,870.0,338.0,863.917724609375,340.06207275390625,6.42,0.51
01ADYT70_lower_right,768.0,359.0,768.2869262695312,359.9027404785156,0.95,0.08
01A6HAN6_lower_left,788.0,335.0,771.7874755859375,330.8733215332031,16.73,1.34
0U1LI1CB_lower_left,781.0,399.0,792.6677856445312,400.52264404296875,11.77,0.94
01CJ68G2_upper_left,782.0,264.0,785.3404541015625,267.681396484375,4.97,0.4
01A6HAN6_lower_right,790.0,338.0,778.8088989257812,339.49481201171875,11.29,0.9
01A6HG3N_upper_right,796.0,272.0,802.8656005859375,272.108154296875,6.87,0.55
01AS9ER0_lower_left,813.0,349.0,795.68896484375,345.94537353515625,17.58,1.41
01CCTTK4_upper_right,744.0,284.0,745.3406982421875,284.9969177246094,1.67,0.13
01AVY0SK_upper_left,809.0,291.0,808.5379028320312,291.9954528808594,1.1,0.09
01DXDP2R_upper_right,722.0,272.0,722.0527954101562,270.00592041015625,1.99,0.16
01AS003D_upper_left,706.0,302.0,709.170166015625,302.0903625488281,3.17,0.25
01A6GW4A_lower_right,865.0,336.0,871.5706176757812,340.20501708984375,7.8,0.62
01CCTTK4_lower_left,769.0,330.0,745.8246459960938,323.6453552246094,24.03,1.92
01A9282X_lower_right,771.0,345.0,772.7285766601562,346.72821044921875,2.44,0.2
01A6HE9H_upper_left,774.0,287.0,773.7974853515625,287.9851989746094,1.01,0.08
01AS003D_upper_right,701.0,300.0,698.1456909179688,299.4832458496094,2.9,0.23
01AS72AN_upper_left,761.0,318.0,763.3627319335938,318.9812927246094,2.56,0.2
01A6HE9H_lower_right,811.0,367.0,807.1142578125,365.44525146484375,4.19,0.34
01AFES4K_upper_left,780.0,318.0,781.0850830078125,316.7738037109375,1.64,0.13
01A6H4PZ_lower_left,803.0,281.0,789.9935913085938,280.57666015625,13.01,1.04
0VFZZY32_upper_left,791.0,380.0,791.3211669921875,379.7537841796875,0.4,0.03
01A6H4PZ_upper_left,795.0,294.0,795.0075073242188,293.2099609375,0.79,0.06
01AKES86_upper_left,808.0,302.0,810.1124267578125,303.9994201660156,2.91,0.23
01E1XHG8_upper_left,828.0,286.0,826.5586547851562,288.4830627441406,2.87,0.23
01A91JH6_upper_right,768.0,293.0,768.1119995117188,293.6500244140625,0.66,0.05
0Y047OQK_upper_left,865.0,402.0,865.2952880859375,403.7381896972656,1.76,0.14
01AVY0SK_upper_right,793.0,289.0,794.743896484375,290.46282958984375,2.28,0.18
0OTKQ5J9_upper_left,777.0,251.0,777.09326171875,252.37522888183594,1.38,0.11
01A6HAN6_upper_right,724.0,298.0,724.7922973632812,297.1029357910156,1.2,0.1
0TMOBYXS_upper_left,744.0,264.0,707.68310546875,336.5171813964844,81.1,6.49
01AS72AN_upper_right,767.0,319.0,766.7012329101562,318.1849060058594,0.87,0.07
01A6HAN6_upper_left,724.0,297.0,723.9619140625,299.7868957519531,2.79,0.22
01AFES4K_upper_right,800.0,322.0,794.0311279296875,322.150390625,5.97,0.48
01AS9ER0_upper_right,761.0,273.0,760.1731567382812,272.2470397949219,1.12,0.09
