Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
GNR6QR3P_lower_right,795.0,350.0,791.6799926757812,351.3599853515625,3.59,0.29
5LP835GA_upper_right,801.0,385.0,798.0799560546875,382.0799865722656,4.13,0.33
0191WKPV_lower_right,758.0,330.0,754.5599975585938,332.4908142089844,4.25,0.34
01E5XG8Z_lower_left,800.0,329.0,796.8081665039062,334.7200012207031,6.55,0.52
01ETW4JZ_upper_right,840.0,287.0,840.3590698242188,284.79998779296875,2.23,0.18
DEBDX44O_upper_right,843.0,373.0,859.5199584960938,374.7771911621094,16.62,1.33
01FURZ62_lower_right,769.0,312.0,781.4400024414062,314.239990234375,12.64,1.01
EB6DQGAR_lower_right,835.0,408.0,828.7999877929688,410.239990234375,6.59,0.53
0145NKWZ_lower_left,848.0,352.0,849.2799682617188,352.6399841308594,1.43,0.11
MNIAB8K3_lower_left,792.0,336.0,791.6799926757812,338.55999755859375,2.58,0.21
0158T9ED_upper_left,800.0,255.0,798.1019287109375,252.79998779296875,2.91,0.23
013NXP1H_upper_left,776.0,268.0,778.8800048828125,268.1600036621094,2.88,0.23
9GSQBATD_lower_right,799.0,345.0,794.239990234375,343.67999267578125,4.94,0.4
0AAQ6BO3_upper_right,803.0,278.0,800.6399536132812,277.799560546875,2.37,0.19
HZH8DYC7_lower_right,864.0,400.0,862.0799560546875,396.1600036621094,4.29,0.34
015WW8D6_lower_right,779.0,371.0,773.760009765625,370.8631591796875,5.24,0.42
0169NHT6_upper_left,830.0,283.0,827.5199584960938,283.5199890136719,2.53,0.2
ANLLPLV7_upper_left,736.0,314.0,737.9199829101562,312.9599914550781,2.18,0.17
0145NKWZ_upper_right,842.0,272.0,835.199951171875,270.7200012207031,6.92,0.55
KBGVMAF7_upper_left,813.0,240.0,804.47998046875,232.90249633789062,11.09,0.89
01HMZ9RN_lower_right,785.0,345.0,784.0,343.67999267578125,1.66,0.13
01ETW4JZ_lower_left,843.0,337.0,840.3200073242188,338.55999755859375,3.1,0.25
013ZD6EX_upper_right,723.0,304.0,720.0,304.0,3.0,0.24
01FAYE3T_upper_right,765.0,280.0,763.6570434570312,279.67999267578125,1.38,0.11
0158T9ED_lower_right,830.0,351.0,826.239990234375,351.3599853515625,3.78,0.3
BC0OWLNW_lower_left,816.0,411.0,817.2799682617188,414.0799865722656,3.34,0.27
015WW8D6_upper_left,729.0,259.0,723.967041015625,263.0400085449219,6.45,0.52
01G1AKV2_lower_right,820.0,379.0,821.1199951171875,378.239990234375,1.35,0.11
015WXFRN_upper_right,786.0,297.0,787.9378051757812,298.8800048828125,2.7,0.22
0158T9ED_upper_right,798.0,255.0,794.325439453125,252.79998779296875,4.28,0.34
IHKL3Y8N_lower_left,790.0,376.0,789.1199951171875,376.37750244140625,0.96,0.08
4J24X0ES_lower_right,819.0,478.0,823.6799926757812,480.6399841308594,5.37,0.43
DEBDX44O_upper_left,856.0,364.0,855.6799926757812,364.4949035644531,0.59,0.05
01E5XG8Z_upper_right,787.0,282.0,785.2799682617188,279.67999267578125,2.89,0.23
013NXP1H_upper_right,732.0,255.0,728.9599609375,251.51998901367188,4.62,0.37
0KIUZ4G5_lower_left,872.0,354.0,894.0799560546875,353.91998291015625,22.08,1.77
LGADV15G_lower_right,802.0,353.0,796.9317016601562,352.6399841308594,5.08,0.41
CBSF6Q84_lower_right,752.0,322.0,754.5599975585938,316.79998779296875,5.8,0.46
01ETW4JZ_upper_left,832.0,286.0,827.6270141601562,284.79998779296875,4.53,0.36
0148UTKX_upper_left,785.0,327.0,782.719970703125,321.91998291015625,5.57,0.45
DEBDX44O_lower_right,840.0,523.0,840.5379638671875,524.6276245117188,1.71,0.14
013NXP1H_lower_left,816.0,357.0,818.5599975585938,355.1999816894531,3.13,0.25
E552BK9X_upper_right,821.0,252.0,819.8668823242188,248.95999145507812,3.24,0.26
0VFZZY32_lower_left,781.0,432.0,781.5965576171875,429.46978759765625,2.6,0.21
014ZTUSK_lower_left,816.0,351.0,817.2799682617188,351.3599853515625,1.33,0.11
01KRCSKD_upper_left,832.0,312.0,827.5199584960938,311.7347717285156,4.49,0.36
