Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
KS0FGXGB_upper_right,816.0,358.0,815.5941162109375,358.44561767578125,0.6,0.05
015WXFRN_upper_left,790.0,304.0,780.759521484375,299.20880126953125,10.41,0.83
01KRCSKD_lower_left,843.0,330.0,841.9536743164062,330.62213134765625,1.22,0.1
015DUP26_upper_left,730.0,285.0,729.0999755859375,284.9200439453125,0.9,0.07
3JCUF41E_upper_left,759.0,284.0,761.8999633789062,284.9984436035156,3.07,0.25
014WKP6A_upper_left,788.0,277.0,787.122314453125,276.5320129394531,0.99,0.08
9KDRM0A8_lower_left,728.0,334.0,729.7152709960938,333.8589782714844,1.72,0.14
014EZU5V_lower_right,820.0,344.0,818.7537841796875,344.0054626464844,1.25,0.1
BNQ3Q4G3_lower_right,777.0,422.0,777.2623901367188,423.1114807128906,1.14,0.09
01422MSK_lower_left,739.0,302.0,756.6893310546875,313.17010498046875,20.92,1.67
KWWQJ60M_lower_left,780.0,349.0,788.7060546875,349.5022277832031,8.72,0.7
HZH8DYC7_lower_left,856.0,392.0,856.257568359375,393.1783447265625,1.21,0.1
013ZD6EX_lower_left,732.0,325.0,732.3343505859375,324.6358642578125,0.49,0.04
01422MSK_upper_right,759.0,291.0,757.5574951171875,290.0811462402344,1.71,0.14
015WXFRN_lower_left,839.0,361.0,839.0059814453125,361.5074462890625,0.51,0.04
0191WKPV_upper_right,770.0,301.0,769.8482666015625,300.3192443847656,0.7,0.06
DEBDX44O_upper_right,843.0,373.0,857.0128173828125,369.93841552734375,14.34,1.15
015DXGZH_lower_left,772.0,306.0,772.26513671875,305.6789855957031,0.42,0.03
E4GH1D3S_lower_right,853.0,414.0,855.5176391601562,414.0261535644531,2.52,0.2
6TZ254SP_lower_left,821.0,363.0,819.360107421875,363.3142395019531,1.67,0.13
C2SF98X5_lower_left,822.0,502.0,821.8602905273438,501.8846435546875,0.18,0.01
J1A5FRQN_lower_left,805.0,447.0,804.2508544921875,447.02203369140625,0.75,0.06
LA67YYVJ_lower_left,783.0,432.0,782.0231323242188,433.15972900390625,1.52,0.12
E23G704K_lower_left,783.0,346.0,783.66015625,347.4279479980469,1.57,0.13
HZH8DYC7_upper_right,875.0,371.0,873.9381713867188,371.22955322265625,1.09,0.09
014ZTUSK_upper_right,767.0,251.0,767.53271484375,251.97593688964844,1.11,0.09
LGADV15G_upper_left,786.0,261.0,784.3994140625,260.85906982421875,1.61,0.13
45UD35GC_lower_right,803.0,322.0,803.4302978515625,321.9421081542969,0.43,0.03
