Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
KS0FGXGB_upper_right,816.0,358.0,815.5844116210938,358.77685546875,0.88,0.07
015WXFRN_upper_left,790.0,304.0,780.2053833007812,299.4476318359375,10.8,0.86
01KRCSKD_lower_left,843.0,330.0,841.1893310546875,330.08941650390625,1.81,0.14
015DUP26_upper_left,730.0,285.0,730.3200073242188,286.0321350097656,1.08,0.09
3JCUF41E_upper_left,759.0,284.0,757.18896484375,284.5688171386719,1.9,0.15
014WKP6A_upper_left,788.0,277.0,786.4940185546875,276.4828796386719,1.59,0.13
9KDRM0A8_lower_left,728.0,334.0,729.0209350585938,335.8843994140625,2.14,0.17
014EZU5V_lower_right,820.0,344.0,819.3963012695312,343.0331115722656,1.14,0.09
BNQ3Q4G3_lower_right,777.0,422.0,776.721923828125,422.9456787109375,0.99,0.08
01422MSK_lower_left,739.0,302.0,756.945068359375,311.5301818847656,20.32,1.63
KWWQJ60M_lower_left,780.0,349.0,790.4384765625,352.39215087890625,10.98,0.88
HZH8DYC7_lower_left,856.0,392.0,856.802734375,393.3028869628906,1.53,0.12
013ZD6EX_lower_left,732.0,325.0,732.7947998046875,324.76959228515625,0.83,0.07
01422MSK_upper_right,759.0,291.0,756.2537231445312,290.42486572265625,2.81,0.22
015WXFRN_lower_left,839.0,361.0,837.7673950195312,360.707763671875,1.27,0.1
0191WKPV_upper_right,770.0,301.0,769.6806640625,300.0660095214844,0.99,0.08
DEBDX44O_upper_right,843.0,373.0,856.3240966796875,372.11578369140625,13.35,1.07
015DXGZH_lower_left,772.0,306.0,772.0388793945312,305.1744384765625,0.83,0.07
E4GH1D3S_lower_right,853.0,414.0,853.9395751953125,415.46014404296875,1.74,0.14
6TZ254SP_lower_left,821.0,363.0,817.7939453125,363.38922119140625,3.23,0.26
C2SF98X5_lower_left,822.0,502.0,822.4859008789062,501.72882080078125,0.56,0.04
J1A5FRQN_lower_left,805.0,447.0,802.7550048828125,447.2965393066406,2.26,0.18
LA67YYVJ_lower_left,783.0,432.0,781.6577758789062,431.1920166015625,1.57,0.13
E23G704K_lower_left,783.0,346.0,783.2119140625,347.1615295410156,1.18,0.09
HZH8DYC7_upper_right,875.0,371.0,874.3797607421875,371.51617431640625,0.81,0.06
014ZTUSK_upper_right,767.0,251.0,767.2109985351562,252.07704162597656,1.1,0.09
LGADV15G_upper_left,786.0,261.0,782.9482421875,260.8143005371094,3.06,0.24
45UD35GC_lower_right,803.0,322.0,825.150146484375,341.6453857421875,29.61,2.37
ameziani_lower_left,855.0,385.0,853.446533203125,384.1422424316406,1.77,0.14
50O9GUWT_upper_right,807.0,252.0,805.6295776367188,252.09144592285156,1.37,0.11
1419YTY4_upper_left,823.0,371.0,822.9004516601562,371.3362121582031,0.35,0.03
IHKL3Y8N_lower_left,790.0,376.0,789.9281616210938,376.41033935546875,0.42,0.03
7IGA0W6E_lower_left,811.0,362.0,810.745361328125,361.2281494140625,0.81,0.06
6TZ254SP_upper_right,774.0,295.0,774.5447998046875,295.36810302734375,0.66,0.05
