Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
KS0FGXGB_upper_right,816.0,358.0,816.474609375,358.01190185546875,0.47,0.04
015WXFRN_upper_left,790.0,304.0,781.0034790039062,299.4975891113281,10.06,0.8
01KRCSKD_lower_left,843.0,330.0,842.4459228515625,330.2282409667969,0.6,0.05
015DUP26_upper_left,730.0,285.0,729.0300903320312,284.8783264160156,0.98,0.08
3JCUF41E_upper_left,759.0,284.0,760.9361572265625,284.75042724609375,2.08,0.17
014WKP6A_upper_left,788.0,277.0,787.7174682617188,276.422607421875,0.64,0.05
9KDRM0A8_lower_left,728.0,334.0,729.0687866210938,333.6156311035156,1.14,0.09
014EZU5V_lower_right,820.0,344.0,818.640625,344.1985168457031,1.37,0.11
BNQ3Q4G3_lower_right,777.0,422.0,776.7507934570312,423.44091796875,1.46,0.12
01422MSK_lower_left,739.0,302.0,755.6541748046875,311.2411193847656,19.05,1.52
KWWQJ60M_lower_left,780.0,349.0,789.5604248046875,350.01422119140625,9.61,0.77
HZH8DYC7_lower_left,856.0,392.0,857.3800659179688,392.43353271484375,1.45,0.12
013ZD6EX_lower_left,732.0,325.0,731.9429321289062,324.8293762207031,0.18,0.01
01422MSK_upper_right,759.0,291.0,758.3271484375,289.9164733886719,1.28,0.1
015WXFRN_lower_left,839.0,361.0,838.4578857421875,361.0700378417969,0.55,0.04
0191WKPV_upper_right,770.0,301.0,770.9021606445312,300.2743225097656,1.16,0.09
DEBDX44O_upper_right,843.0,373.0,857.0737915039062,370.2227783203125,14.35,1.15
015DXGZH_lower_left,772.0,306.0,773.1641235351562,305.8003845214844,1.18,0.09
E4GH1D3S_lower_right,853.0,414.0,855.641845703125,413.87493896484375,2.64,0.21
6TZ254SP_lower_left,821.0,363.0,819.7522583007812,363.16827392578125,1.26,0.1
C2SF98X5_lower_left,822.0,502.0,821.8148803710938,501.3562316894531,0.67,0.05
J1A5FRQN_lower_left,805.0,447.0,804.3012084960938,447.5425720214844,0.88,0.07
LA67YYVJ_lower_left,783.0,432.0,782.2559814453125,431.90069580078125,0.75,0.06
E23G704K_lower_left,783.0,346.0,784.0634155273438,347.4637451171875,1.81,0.14
HZH8DYC7_upper_right,875.0,371.0,874.8890380859375,372.33343505859375,1.34,0.11
014ZTUSK_upper_right,767.0,251.0,768.5849609375,252.6654510498047,2.3,0.18
LGADV15G_upper_left,786.0,261.0,784.2515258789062,261.3596496582031,1.79,0.14
45UD35GC_lower_right,803.0,322.0,804.36669921875,321.5343322753906,1.44,0.12
ameziani_lower_left,855.0,385.0,855.670166015625,384.2929992675781,0.97,0.08
50O9GUWT_upper_right,807.0,252.0,806.3455810546875,251.83282470703125,0.68,0.05
1419YTY4_upper_left,823.0,371.0,822.8079223632812,370.7479553222656,0.32,0.03
IHKL3Y8N_lower_left,790.0,376.0,790.0365600585938,376.3564453125,0.36,0.03
7IGA0W6E_lower_left,811.0,362.0,812.733642578125,361.64300537109375,1.77,0.14
6TZ254SP_upper_right,774.0,295.0,774.945556640625,296.22393798828125,1.55,0.12
016XWJ8X_lower_left,809.0,342.0,797.4418334960938,335.8529357910156,13.09,1.05
9KDRM0A8_upper_left,742.0,303.0,742.7779541015625,303.3312683105469,0.85,0.07
AYSCFCO8_upper_right,796.0,261.0,796.2268676757812,261.472900390625,0.52,0.04
H8RSX6T2_lower_left,826.0,344.0,815.4423217773438,343.98248291015625,10.56,0.84
45UD35GC_upper_right,798.0,269.0,798.549072265625,269.5714111328125,0.79,0.06
ANLLPLV7_upper_right,736.0,316.0,735.5975341796875,315.33050537109375,0.78,0.06
017UYAW4_lower_right,808.0,337.0,808.35302734375,337.057373046875,0.36,0.03
9GSQBATD_lower_right,799.0,345.0,797.8356323242188,344.36322021484375,1.33,0.11
ANLLPLV7_upper_left,736.0,314.0,735.5281982421875,313.6414794921875,0.59,0.05
015WW8D6_lower_left,786.0,379.0,785.65185546875,380.77447509765625,1.81,0.14
BNQ3Q4G3_lower_left,775.0,426.0,774.472900390625,425.91607666015625,0.53,0.04
JJEIMAPR_lower_left,834.0,433.0,834.3175048828125,433.5124816894531,0.6,0.05
