Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
KS0FGXGB_upper_right,816.0,358.0,815.6704711914062,358.853515625,0.91,0.07
015WXFRN_upper_left,790.0,304.0,780.8618774414062,299.32147216796875,10.27,0.82
01KRCSKD_lower_left,843.0,330.0,842.4349975585938,330.7429504394531,0.93,0.07
015DUP26_upper_left,730.0,285.0,729.0394287109375,285.6839904785156,1.18,0.09
3JCUF41E_upper_left,759.0,284.0,761.750244140625,284.9105224609375,2.9,0.23
014WKP6A_upper_left,788.0,277.0,787.5963134765625,276.6076965332031,0.56,0.04
9KDRM0A8_lower_left,728.0,334.0,729.7802734375,334.2347717285156,1.8,0.14
014EZU5V_lower_right,820.0,344.0,818.1773071289062,344.3357238769531,1.85,0.15
BNQ3Q4G3_lower_right,777.0,422.0,777.161376953125,422.633544921875,0.65,0.05
01422MSK_lower_left,739.0,302.0,756.8865356445312,311.1941223144531,20.11,1.61
KWWQJ60M_lower_left,780.0,349.0,788.709228515625,349.82781982421875,8.75,0.7
HZH8DYC7_lower_left,856.0,392.0,856.9387817382812,393.1745300292969,1.5,0.12
013ZD6EX_lower_left,732.0,325.0,732.070068359375,325.02490234375,0.07,0.01
01422MSK_upper_right,759.0,291.0,757.7139892578125,290.6214904785156,1.34,0.11
015WXFRN_lower_left,839.0,361.0,838.504150390625,361.2498474121094,0.56,0.04
0191WKPV_upper_right,770.0,301.0,769.911376953125,300.5886535644531,0.42,0.03
DEBDX44O_upper_right,843.0,373.0,857.4796142578125,369.84197998046875,14.82,1.19
015DXGZH_lower_left,772.0,306.0,772.2752075195312,306.1773681640625,0.33,0.03
E4GH1D3S_lower_right,853.0,414.0,855.2153930664062,414.053466796875,2.22,0.18
6TZ254SP_lower_left,821.0,363.0,818.7608642578125,363.48468017578125,2.29,0.18
C2SF98X5_lower_left,822.0,502.0,822.6546630859375,502.0092468261719,0.65,0.05
J1A5FRQN_lower_left,805.0,447.0,803.93505859375,447.04522705078125,1.07,0.09
LA67YYVJ_lower_left,783.0,432.0,781.8154296875,433.4559020996094,1.88,0.15
E23G704K_lower_left,783.0,346.0,783.648681640625,346.3037109375,0.72,0.06
HZH8DYC7_upper_right,875.0,371.0,874.0553588867188,371.3465881347656,1.01,0.08
014ZTUSK_upper_right,767.0,251.0,767.502197265625,252.35037231445312,1.44,0.12
LGADV15G_upper_left,786.0,261.0,784.5855102539062,260.901611328125,1.42,0.11
45UD35GC_lower_right,803.0,322.0,803.026611328125,321.6739501953125,0.33,0.03
ameziani_lower_left,855.0,385.0,855.7006225585938,384.9298400878906,0.7,0.06
50O9GUWT_upper_right,807.0,252.0,806.3092041015625,252.18605041503906,0.72,0.06
1419YTY4_upper_left,823.0,371.0,822.6715698242188,371.1834716796875,0.38,0.03
IHKL3Y8N_lower_left,790.0,376.0,789.3282470703125,376.63482666015625,0.92,0.07
7IGA0W6E_lower_left,811.0,362.0,812.0034790039062,361.9019775390625,1.01,0.08
6TZ254SP_upper_right,774.0,295.0,775.5418090820312,296.2506408691406,1.99,0.16
016XWJ8X_lower_left,809.0,342.0,797.992431640625,336.6241760253906,12.25,0.98
9KDRM0A8_upper_left,742.0,303.0,741.8088989257812,302.8935241699219,0.22,0.02
AYSCFCO8_upper_right,796.0,261.0,795.9617309570312,261.7359619140625,0.74,0.06
H8RSX6T2_lower_left,826.0,344.0,814.542236328125,343.89166259765625,11.46,0.92
45UD35GC_upper_right,798.0,269.0,798.3782348632812,269.89324951171875,0.97,0.08
ANLLPLV7_upper_right,736.0,316.0,735.55859375,315.7606201171875,0.5,0.04
017UYAW4_lower_right,808.0,337.0,807.3159790039062,337.2648010253906,0.73,0.06
9GSQBATD_lower_right,799.0,345.0,797.798828125,344.516357421875,1.29,0.1
ANLLPLV7_upper_left,736.0,314.0,735.4841918945312,313.9114074707031,0.52,0.04
015WW8D6_lower_left,786.0,379.0,784.7465209960938,378.4250183105469,1.38,0.11
BNQ3Q4G3_lower_left,775.0,426.0,774.6381225585938,426.1671142578125,0.4,0.03
JJEIMAPR_lower_left,834.0,433.0,834.7804565429688,433.53436279296875,0.95,0.08
