Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
KS0FGXGB_upper_right,816.0,358.0,816.4775390625,358.5247497558594,0.71,0.06
015WXFRN_upper_left,790.0,304.0,780.6384887695312,299.119384765625,10.56,0.84
01KRCSKD_lower_left,843.0,330.0,842.5509033203125,330.4494934082031,0.64,0.05
015DUP26_upper_left,730.0,285.0,730.3953857421875,286.2262878417969,1.29,0.1
3JCUF41E_upper_left,759.0,284.0,758.7302856445312,285.35321044921875,1.38,0.11
014WKP6A_upper_left,788.0,277.0,787.841552734375,277.21978759765625,0.27,0.02
9KDRM0A8_lower_left,728.0,334.0,728.2904663085938,333.92144775390625,0.3,0.02
014EZU5V_lower_right,820.0,344.0,819.1226196289062,344.87158203125,1.24,0.1
BNQ3Q4G3_lower_right,777.0,422.0,777.63671875,424.3568115234375,2.44,0.2
01422MSK_lower_left,739.0,302.0,756.8076171875,311.5237121582031,20.19,1.62
KWWQJ60M_lower_left,780.0,349.0,789.9186401367188,350.9718322753906,10.11,0.81
HZH8DYC7_lower_left,856.0,392.0,855.76318359375,394.0102233886719,2.02,0.16
013ZD6EX_lower_left,732.0,325.0,732.8502197265625,325.46148681640625,0.97,0.08
01422MSK_upper_right,759.0,291.0,758.3698120117188,291.6586608886719,0.91,0.07
015WXFRN_lower_left,839.0,361.0,839.0743408203125,360.29345703125,0.71,0.06
0191WKPV_upper_right,770.0,301.0,770.9535522460938,300.11602783203125,1.3,0.1
DEBDX44O_upper_right,843.0,373.0,857.4356689453125,371.6435546875,14.5,1.16
015DXGZH_lower_left,772.0,306.0,772.482421875,306.0263671875,0.48,0.04
E4GH1D3S_lower_right,853.0,414.0,857.0146484375,416.3376770019531,4.65,0.37
6TZ254SP_lower_left,821.0,363.0,819.994384765625,362.5944519042969,1.08,0.09
C2SF98X5_lower_left,822.0,502.0,822.6195068359375,500.9815368652344,1.19,0.1
J1A5FRQN_lower_left,805.0,447.0,803.8116455078125,447.8296813964844,1.45,0.12
LA67YYVJ_lower_left,783.0,432.0,781.8577270507812,430.75323486328125,1.69,0.14
E23G704K_lower_left,783.0,346.0,783.5570678710938,347.56304931640625,1.66,0.13
HZH8DYC7_upper_right,875.0,371.0,873.9981079101562,370.2559814453125,1.25,0.1
014ZTUSK_upper_right,767.0,251.0,768.421630859375,252.03334045410156,1.76,0.14
LGADV15G_upper_left,786.0,261.0,785.2960205078125,261.36907958984375,0.79,0.06
45UD35GC_lower_right,803.0,322.0,824.1337890625,341.70794677734375,28.9,2.31
ameziani_lower_left,855.0,385.0,854.1796875,382.9033508300781,2.25,0.18
50O9GUWT_upper_right,807.0,252.0,806.6637573242188,252.1864013671875,0.38,0.03
1419YTY4_upper_left,823.0,371.0,823.8406982421875,371.6607971191406,1.07,0.09
IHKL3Y8N_lower_left,790.0,376.0,790.1749877929688,376.3648986816406,0.4,0.03
7IGA0W6E_lower_left,811.0,362.0,810.962890625,360.7657775878906,1.23,0.1
6TZ254SP_upper_right,774.0,295.0,775.1641235351562,295.94537353515625,1.5,0.12
016XWJ8X_lower_left,809.0,342.0,798.7969360351562,338.9643249511719,10.65,0.85
9KDRM0A8_upper_left,742.0,303.0,742.8139038085938,302.892333984375,0.82,0.07
AYSCFCO8_upper_right,796.0,261.0,797.3577270507812,260.8857727050781,1.36,0.11
H8RSX6T2_lower_left,826.0,344.0,815.0380249023438,342.7405090332031,11.03,0.88
45UD35GC_upper_right,798.0,269.0,798.0941772460938,269.3786315917969,0.39,0.03
ANLLPLV7_upper_right,736.0,316.0,735.12451171875,314.62945556640625,1.63,0.13
017UYAW4_lower_right,808.0,337.0,806.7374267578125,337.1712341308594,1.27,0.1
9GSQBATD_lower_right,799.0,345.0,798.2769165039062,346.2201232910156,1.42,0.11
ANLLPLV7_upper_left,736.0,314.0,735.9735107421875,313.3510437011719,0.65,0.05
015WW8D6_lower_left,786.0,379.0,784.8081665039062,380.1916198730469,1.69,0.14
BNQ3Q4G3_lower_left,775.0,426.0,774.4380493164062,426.12713623046875,0.58,0.05
JJEIMAPR_lower_left,834.0,433.0,834.9297485351562,434.0652770996094,1.41,0.11
