Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
013FHA7K_lower_left,844.0,369.0,842.216064453125,368.62744140625,1.82,0.15
013FHA7K_lower_right,842.0,369.0,841.4052124023438,369.80572509765625,1.0,0.08
013FHA7K_upper_left,799.0,276.0,797.4083251953125,275.05731201171875,1.85,0.15
013FHA7K_upper_right,782.0,276.0,782.1259155273438,275.36761474609375,0.64,0.05
013NUWYR_lower_left,828.0,243.0,828.0118408203125,244.26535034179688,1.27,0.1
013NUWYR_lower_right,818.0,236.0,817.975830078125,235.96737670898438,0.04,0.0
013NUWYR_upper_left,845.0,280.0,831.2674560546875,270.5940246582031,16.64,1.33
013NUWYR_upper_right,829.0,272.0,829.1630859375,271.26055908203125,0.76,0.06
013NXP1H_lower_left,816.0,357.0,817.030517578125,355.9519348144531,1.47,0.12
013NXP1H_lower_right,836.0,362.0,837.4808959960938,363.83935546875,2.36,0.19
013NXP1H_upper_left,776.0,268.0,777.0686645507812,269.1869812011719,1.6,0.13
013NXP1H_upper_right,732.0,255.0,730.23583984375,256.29400634765625,2.19,0.18
013TXGFK_lower_left,835.0,363.0,826.8568725585938,361.19293212890625,8.34,0.67
013TXGFK_lower_right,824.0,360.0,823.8973999023438,361.43988037109375,1.44,0.12
013TXGFK_upper_left,769.0,256.0,770.7691040039062,256.7156677246094,1.91,0.15
013TXGFK_upper_right,760.0,252.0,760.7911376953125,250.90383911132812,1.35,0.11
013ZD6EX_lower_left,732.0,325.0,731.9215698242188,325.8274841308594,0.83,0.07
013ZD6EX_lower_right,730.0,322.0,729.7034301757812,322.93902587890625,0.98,0.08
013ZD6EX_upper_left,721.0,307.0,720.2861328125,308.40435791015625,1.58,0.13
013ZD6EX_upper_right,723.0,304.0,723.61865234375,304.8970947265625,1.09,0.09
01422MSK_lower_left,739.0,302.0,757.4609985351562,311.1090087890625,20.59,1.65
01422MSK_lower_right,754.0,313.0,753.3825073242188,311.9173889160156,1.25,0.1
01422MSK_upper_left,754.0,291.0,755.1697387695312,292.32763671875,1.77,0.14
01422MSK_upper_right,759.0,291.0,757.850830078125,290.8899841308594,1.15,0.09
0145NKWZ_lower_left,848.0,352.0,849.0354614257812,352.0645751953125,1.04,0.08
0145NKWZ_lower_right,849.0,351.0,849.3434448242188,351.9636535644531,1.02,0.08
0145NKWZ_upper_left,846.0,273.0,842.6637573242188,271.9052734375,3.51,0.28
0145NKWZ_upper_right,842.0,272.0,840.5299072265625,273.1240234375,1.85,0.15
0148UTKX_lower_left,816.0,337.0,817.0043334960938,337.2253112792969,1.03,0.08
0148UTKX_lower_right,822.0,336.0,818.722412109375,335.7320251464844,3.29,0.26
0148UTKX_upper_left,785.0,327.0,784.2084350585938,328.0118713378906,1.28,0.1
0148UTKX_upper_right,778.0,325.0,777.18701171875,326.0008850097656,1.29,0.1
0148VUFR_lower_left,778.0,336.0,792.196533203125,346.5029296875,17.66,1.41
0148VUFR_lower_right,792.0,343.0,790.6096801757812,343.7923889160156,1.6,0.13
0148VUFR_upper_left,770.0,283.0,772.1004028320312,284.15045166015625,2.39,0.19
