Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
013FHA7K_lower_left,844.0,369.0,840.7265625,369.08331298828125,3.27,0.26
013FHA7K_lower_right,842.0,369.0,841.0242919921875,368.7408142089844,1.01,0.08
013FHA7K_upper_left,799.0,276.0,798.5357666015625,276.2334289550781,0.52,0.04
013FHA7K_upper_right,782.0,276.0,781.1449584960938,279.59393310546875,3.69,0.3
013NUWYR_lower_left,828.0,243.0,826.6126098632812,245.16281127929688,2.57,0.21
013NUWYR_lower_right,818.0,236.0,814.7481689453125,230.90687561035156,6.04,0.48
013NUWYR_upper_left,845.0,280.0,836.7301635742188,270.9732666015625,12.24,0.98
013NUWYR_upper_right,829.0,272.0,829.997314453125,268.96978759765625,3.19,0.26
013NXP1H_lower_left,816.0,357.0,817.279541015625,356.59002685546875,1.34,0.11
013NXP1H_lower_right,836.0,362.0,835.4887084960938,360.6144714355469,1.48,0.12
013NXP1H_upper_left,776.0,268.0,771.6981201171875,267.3577575683594,4.35,0.35
013NXP1H_upper_right,732.0,255.0,729.2490234375,254.748046875,2.76,0.22
013TXGFK_lower_left,835.0,363.0,827.8815307617188,362.12554931640625,7.17,0.57
013TXGFK_lower_right,824.0,360.0,820.4937133789062,359.4093933105469,3.56,0.28
013TXGFK_upper_left,769.0,256.0,771.1978149414062,254.1796875,2.85,0.23
013TXGFK_upper_right,760.0,252.0,763.8864135742188,255.26844787597656,5.08,0.41
013ZD6EX_lower_left,732.0,325.0,730.884033203125,331.4595642089844,6.56,0.52
013ZD6EX_lower_right,730.0,322.0,729.4968872070312,328.76177978515625,6.78,0.54
013ZD6EX_upper_left,721.0,307.0,722.1306762695312,306.23895263671875,1.36,0.11
013ZD6EX_upper_right,723.0,304.0,723.0707397460938,302.9720153808594,1.03,0.08
01422MSK_lower_left,739.0,302.0,754.49951171875,312.0887756347656,18.49,1.48
01422MSK_lower_right,754.0,313.0,753.1156616210938,309.45135498046875,3.66,0.29
01422MSK_upper_left,754.0,291.0,753.9404296875,286.4837951660156,4.52,0.36
01422MSK_upper_right,759.0,291.0,758.5667114257812,291.21246337890625,0.48,0.04
0145NKWZ_lower_left,848.0,352.0,843.1685791015625,350.89581298828125,4.96,0.4
0145NKWZ_lower_right,849.0,351.0,848.3182373046875,351.5164489746094,0.86,0.07
0145NKWZ_upper_left,846.0,273.0,844.0923461914062,273.0061950683594,1.91,0.15
0145NKWZ_upper_right,842.0,272.0,841.2472534179688,271.83306884765625,0.77,0.06
0148UTKX_lower_left,816.0,337.0,815.5632934570312,335.8849182128906,1.2,0.1
0148UTKX_lower_right,822.0,336.0,807.2283935546875,332.7419738769531,15.13,1.21
0148UTKX_upper_left,785.0,327.0,784.0458984375,328.7565612792969,2.0,0.16
0148UTKX_upper_right,778.0,325.0,775.64453125,325.3441467285156,2.38,0.19
0148VUFR_lower_left,778.0,336.0,779.720947265625,331.42034912109375,4.89,0.39
0148VUFR_lower_right,792.0,343.0,792.2915649414062,343.1275634765625,0.32,0.03
0148VUFR_upper_left,770.0,283.0,773.8214111328125,278.44732666015625,5.94,0.48
0148VUFR_upper_right,772.0,286.0,773.1981201171875,283.3379821777344,2.92,0.23
014EZU5V_lower_left,822.0,344.0,822.3643798828125,342.9850769042969,1.08,0.09
014EZU5V_lower_right,820.0,344.0,816.3682861328125,342.7772521972656,3.83,0.31
014EZU5V_upper_left,785.0,283.0,785.0142211914062,288.5618591308594,5.56,0.44
014EZU5V_upper_right,791.0,285.0,792.9370727539062,289.4579162597656,4.86,0.39
014JJ942_lower_left,784.0,313.0,782.7965698242188,307.9280700683594,5.21,0.42
014JJ942_lower_right,778.0,306.0,782.1881103515625,304.1673278808594,4.57,0.37
014JJ942_upper_left,770.0,278.0,768.8698120117188,279.4875793457031,1.87,0.15
014JJ942_upper_right,776.0,273.0,776.2592163085938,273.1232604980469,0.29,0.02
014WKP6A_lower_left,827.0,361.0,827.447509765625,359.76226806640625,1.32,0.11
014WKP6A_lower_right,830.0,362.0,832.9645385742188,361.2427673339844,3.06,0.24
014WKP6A_upper_left,788.0,277.0,787.4029541015625,279.6005554199219,2.67,0.21
014WKP6A_upper_right,785.0,284.0,787.025634765625,281.0380554199219,3.59,0.29
014ZTUSK_lower_left,816.0,351.0,817.8583984375,351.06634521484375,1.86,0.15
014ZTUSK_lower_right,815.0,351.0,815.1295166015625,352.09674072265625,1.1,0.09
014ZTUSK_upper_left,757.0,255.0,759.2657470703125,254.5824432373047,2.3,0.18
014ZTUSK_upper_right,767.0,251.0,767.5340576171875,250.3472137451172,0.84,0.07
0158T9ED_lower_left,826.0,350.0,825.0792236328125,348.9301452636719,1.41,0.11
0158T9ED_lower_right,830.0,351.0,826.2385864257812,350.3088684082031,3.82,0.31
0158T9ED_upper_left,800.0,255.0,803.4473266601562,256.80792236328125,3.89,0.31
0158T9ED_upper_right,798.0,255.0,800.2654418945312,253.96405029296875,2.49,0.2
015DUP26_lower_left,738.0,356.0,737.6710205078125,355.5545654296875,0.55,0.04
015DUP26_lower_right,736.0,356.0,734.7263793945312,356.13494873046875,1.28,0.1
015DUP26_upper_left,730.0,285.0,726.7754516601562,287.7523498535156,4.24,0.34
015DUP26_upper_right,725.0,284.0,723.5281372070312,285.70263671875,2.25,0.18
015DXGZH_lower_left,772.0,306.0,774.4838256835938,300.4917907714844,6.04,0.48
015DXGZH_lower_right,773.0,306.0,774.0473022460938,314.04718017578125,8.12,0.65
015DXGZH_upper_left,731.0,260.0,731.2032470703125,263.4505310058594,3.46,0.28
015DXGZH_upper_right,760.0,274.0,759.7135620117188,271.2953186035156,2.72,0.22
015KFJV6_lower_left,818.0,320.0,819.2999267578125,313.8896179199219,6.25,0.5
015KFJV6_lower_right,818.0,324.0,819.7138671875,318.1699523925781,6.08,0.49
015KFJV6_upper_left,798.0,298.0,799.7223510742188,295.5458068847656,3.0,0.24
015KFJV6_upper_right,802.0,303.0,800.98828125,303.126708984375,1.02,0.08
015RM178_lower_left,836.0,333.0,837.2877197265625,334.1716003417969,1.74,0.14
015RM178_lower_right,829.0,333.0,831.7216186523438,333.2973327636719,2.74,0.22
015RM178_upper_left,774.0,303.0,775.1484375,309.663818359375,6.76,0.54
015RM178_upper_right,790.0,307.0,789.5218505859375,305.33642578125,1.73,0.14
015SUFFX_lower_left,799.0,334.0,805.843994140625,333.80596923828125,6.85,0.55
015SUFFX_lower_right,800.0,334.0,799.0046997070312,332.8731689453125,1.5,0.12
015SUFFX_upper_left,747.0,288.0,748.1196899414062,287.0409240722656,1.47,0.12
015SUFFX_upper_right,755.0,291.0,755.8307495117188,289.6229553222656,1.61,0.13
015WW8D6_lower_left,786.0,379.0,787.5203247070312,379.5284423828125,1.61,0.13
015WW8D6_lower_right,779.0,371.0,774.3154296875,367.98980712890625,5.57,0.45
015WW8D6_upper_left,729.0,259.0,733.4920043945312,264.28631591796875,6.94,0.56
015WW8D6_upper_right,718.0,255.0,716.083740234375,256.9563293457031,2.74,0.22
015WXFRN_lower_left,839.0,361.0,829.4098510742188,352.2168273925781,13.0,1.04
015WXFRN_lower_right,822.0,344.0,819.0859985351562,343.357421875,2.98,0.24
015WXFRN_upper_left,790.0,304.0,777.8434448242188,299.29901123046875,13.03,1.04
015WXFRN_upper_right,786.0,297.0,787.4998168945312,296.4718933105469,1.59,0.13
0169NHT6_lower_left,849.0,349.0,848.0025024414062,346.7710876464844,2.44,0.2
0169NHT6_lower_right,850.0,348.0,850.3853149414062,347.9814453125,0.39,0.03
0169NHT6_upper_left,830.0,283.0,829.3345336914062,282.77117919921875,0.7,0.06
0169NHT6_upper_right,826.0,280.0,826.631591796875,281.9003601074219,2.0,0.16
016XWJ8X_lower_left,809.0,342.0,798.2081298828125,329.2821350097656,16.68,1.33
016XWJ8X_lower_right,808.0,346.0,798.4949951171875,339.91717529296875,11.28,0.9
016XWJ8X_upper_left,818.0,329.0,822.9641723632812,329.9217224121094,5.05,0.4
016XWJ8X_upper_right,834.0,326.0,833.95068359375,328.3025207519531,2.3,0.18
0171X5EV_lower_left,791.0,343.0,789.8924560546875,343.9585876464844,1.46,0.12
0171X5EV_lower_right,790.0,345.0,791.7855834960938,346.3613586425781,2.25,0.18
0171X5EV_upper_left,793.0,281.0,794.021728515625,283.3972473144531,2.61,0.21
0171X5EV_upper_right,788.0,279.0,790.8269653320312,283.5888977050781,5.39,0.43
