Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
013FHA7K_lower_left,844.0,369.0,840.3200073242188,371.8824768066406,4.67,0.37
013FHA7K_lower_right,842.0,369.0,839.0399780273438,371.8399963378906,4.1,0.33
013FHA7K_upper_left,799.0,276.0,795.5199584960938,275.3687744140625,3.54,0.28
013FHA7K_upper_right,782.0,276.0,784.0,275.8967590332031,2.0,0.16
013NUWYR_lower_left,828.0,243.0,824.9599609375,242.55999755859375,3.07,0.25
013NUWYR_lower_right,818.0,236.0,819.8399658203125,236.24549865722656,1.86,0.15
013NUWYR_upper_left,845.0,280.0,830.0799560546875,272.7460632324219,16.59,1.33
013NUWYR_upper_right,829.0,272.0,826.239990234375,272.6410827636719,2.83,0.23
013NXP1H_lower_left,816.0,357.0,818.5599975585938,353.91998291015625,4.01,0.32
013NXP1H_lower_right,836.0,362.0,832.6399536132812,360.6542053222656,3.62,0.29
013NXP1H_upper_left,776.0,268.0,780.1599731445312,270.7200012207031,4.97,0.4
013NXP1H_upper_right,732.0,255.0,732.7999877929688,256.6399841308594,1.82,0.15
013TXGFK_lower_left,835.0,363.0,826.239990234375,360.5023498535156,9.11,0.73
013TXGFK_lower_right,824.0,360.0,824.9599609375,357.920654296875,2.29,0.18
013TXGFK_upper_left,769.0,256.0,772.4815673828125,254.35671997070312,3.85,0.31
013TXGFK_upper_right,760.0,252.0,754.5599975585938,251.8450927734375,5.44,0.44
013ZD6EX_lower_left,732.0,325.0,732.7999877929688,324.27777099609375,1.08,0.09
013ZD6EX_lower_right,730.0,322.0,730.239990234375,321.9997253417969,0.24,0.02
013ZD6EX_upper_left,721.0,307.0,723.8399658203125,308.4352722167969,3.18,0.25
013ZD6EX_upper_right,723.0,304.0,722.5599975585938,306.55999755859375,2.6,0.21
01422MSK_lower_left,739.0,302.0,753.2799682617188,311.0752258300781,16.92,1.35
01422MSK_lower_right,754.0,313.0,752.0,311.67999267578125,2.4,0.19
01422MSK_upper_left,754.0,291.0,752.0,291.3778381347656,2.04,0.16
01422MSK_upper_right,759.0,291.0,753.2799682617188,291.1999816894531,5.72,0.46
0145NKWZ_lower_left,848.0,352.0,849.2799682617188,351.3599853515625,1.43,0.11
0145NKWZ_lower_right,849.0,351.0,849.2799682617188,350.0799865722656,0.96,0.08
0145NKWZ_upper_left,846.0,273.0,841.5999755859375,272.0,4.51,0.36
0145NKWZ_upper_right,842.0,272.0,839.0399780273438,272.0402526855469,2.96,0.24
0148UTKX_lower_left,816.0,337.0,816.9417724609375,341.5367431640625,4.63,0.37
0148UTKX_lower_right,822.0,336.0,805.760009765625,337.2799987792969,16.29,1.3
