Filename,X_Model,Y_Model,X_Refined,Y_Refined,X_True,Y_True,Refined_Pixel_Dist,Refined_mm_Dist
013FHA7K_lower_left,840,367,843,369,844.0,369.0,1.0,0.08
013FHA7K_lower_right,840,368,842,369,842.0,369.0,0.0,0.0
013FHA7K_upper_left,799,276,799,276,799.0,276.0,0.0,0.0
013FHA7K_upper_right,782,278,782,276,782.0,276.0,0.0,0.0
013NUWYR_lower_left,825,245,828,243,828.0,243.0,0.0,0.0
013NUWYR_lower_right,815,230,806,233,818.0,236.0,12.36931687685298,0.9895453501482385
013NUWYR_upper_left,833,271,830,271,845.0,280.0,17.4928556845359,1.3994284547628721
013NUWYR_upper_right,829,269,829,272,829.0,272.0,0.0,0.0
013NXP1H_lower_left,816,356,816,357,816.0,357.0,0.0,0.0
013NXP1H_lower_right,835,360,826,361,836.0,362.0,10.04987562112089,0.8039900496896712
013NXP1H_upper_left,772,267,776,268,776.0,268.0,0.0,0.0
013NXP1H_upper_right,729,254,732,255,732.0,255.0,0.0,0.0
013TXGFK_lower_left,831,362,827,361,835.0,363.0,8.246211251235321,0.6596969000988258
013TXGFK_lower_right,820,359,824,360,824.0,360.0,0.0,0.0
013TXGFK_upper_left,771,254,769,256,769.0,256.0,0.0,0.0
013TXGFK_upper_right,765,254,760,252,760.0,252.0,0.0,0.0
013ZD6EX_lower_left,731,330,732,325,732.0,325.0,0.0,0.0
013ZD6EX_lower_right,730,327,730,322,730.0,322.0,0.0,0.0
013ZD6EX_upper_left,722,305,721,307,721.0,307.0,0.0,0.0
013ZD6EX_upper_right,723,303,723,304,723.0,304.0,0.0,0.0
01422MSK_lower_left,753,310,744,307,739.0,302.0,7.0710678118654755,0.565685424949238
01422MSK_lower_right,754,308,753,313,754.0,313.0,1.0,0.08
01422MSK_upper_left,753,300,754,291,754.0,291.0,0.0,0.0
01422MSK_upper_right,758,290,759,291,759.0,291.0,0.0,0.0
0145NKWZ_lower_left,842,350,847,352,848.0,352.0,1.0,0.08
0145NKWZ_lower_right,848,351,849,351,849.0,351.0,0.0,0.0
0145NKWZ_upper_left,843,272,843,272,846.0,273.0,3.1622776601683795,0.2529822128134704
0145NKWZ_upper_right,838,271,842,272,842.0,272.0,0.0,0.0
0148UTKX_lower_left,817,335,816,337,816.0,337.0,0.0,0.0
0148UTKX_lower_right,808,332,803,332,822.0,336.0,19.4164878389476,1.553319027115808
0148UTKX_upper_left,784,327,785,327,785.0,327.0,0.0,0.0
0148UTKX_upper_right,775,325,778,325,778.0,325.0,0.0,0.0
0148VUFR_lower_left,778,331,778,336,778.0,336.0,0.0,0.0
0148VUFR_lower_right,791,341,792,343,792.0,343.0,0.0,0.0
0148VUFR_upper_left,773,277,770,283,770.0,283.0,0.0,0.0
0148VUFR_upper_right,773,281,772,286,772.0,286.0,0.0,0.0
014EZU5V_lower_left,821,343,822,344,822.0,344.0,0.0,0.0
