Filename,X_Model,Y_Model,X_Refined,Y_Refined,X_True,Y_True
013FHA7K_lower_left,840,368,843,369,844.0,369.0
013FHA7K_lower_right,841,369,842,369,842.0,369.0
013FHA7K_upper_left,798,277,799,276,799.0,276.0
013FHA7K_upper_right,781,280,782,276,782.0,276.0
013NUWYR_lower_left,829,246,828,243,828.0,243.0
013NUWYR_lower_right,811,233,803,233,818.0,236.0
013NUWYR_upper_left,833,271,830,271,845.0,280.0
013NUWYR_upper_right,828,270,829,272,829.0,272.0
013NXP1H_lower_left,816,356,816,357,816.0,357.0
013NXP1H_lower_right,834,360,825,360,836.0,362.0
013NXP1H_upper_left,772,267,776,268,776.0,268.0
013NXP1H_upper_right,730,254,732,255,732.0,255.0
013TXGFK_lower_left,829,362,827,361,835.0,363.0
013TXGFK_lower_right,821,359,824,360,824.0,360.0
013TXGFK_upper_left,770,255,769,256,769.0,256.0
013TXGFK_upper_right,763,254,760,252,760.0,252.0
013ZD6EX_lower_left,730,331,732,325,732.0,325.0
013ZD6EX_lower_right,728,329,730,322,730.0,322.0
013ZD6EX_upper_left,722,306,721,307,721.0,307.0
013ZD6EX_upper_right,724,302,723,304,723.0,304.0
01422MSK_lower_left,754,311,745,308,739.0,302.0
01422MSK_lower_right,755,308,753,313,754.0,313.0
01422MSK_upper_left,754,300,754,291,754.0,291.0
01422MSK_upper_right,757,290,759,291,759.0,291.0
0145NKWZ_lower_left,843,350,847,352,848.0,352.0
0145NKWZ_lower_right,847,352,849,351,849.0,351.0
0145NKWZ_upper_left,843,273,843,272,846.0,273.0
0145NKWZ_upper_right,840,273,842,272,842.0,272.0
0148UTKX_lower_left,816,336,816,337,816.0,337.0
0148UTKX_lower_right,806,333,803,332,822.0,336.0
0148UTKX_upper_left,784,327,785,327,785.0,327.0
0148UTKX_upper_right,775,325,778,325,778.0,325.0
0148VUFR_lower_left,779,331,778,336,778.0,336.0
0148VUFR_lower_right,791,342,792,343,792.0,343.0
0148VUFR_upper_left,774,279,770,283,770.0,283.0
0148VUFR_upper_right,772,283,772,286,772.0,286.0
014EZU5V_lower_left,821,341,822,344,822.0,344.0
014EZU5V_lower_right,817,342,820,344,820.0,344.0
014EZU5V_upper_left,785,289,785,283,785.0,283.0
014EZU5V_upper_right,793,289,791,285,791.0,285.0
014JJ942_lower_left,782,307,784,313,784.0,313.0
014JJ942_lower_right,781,304,778,306,778.0,306.0
014JJ942_upper_left,768,279,771,278,770.0,278.0
014JJ942_upper_right,776,273,776,273,776.0,273.0
014WKP6A_lower_left,826,360,827,361,827.0,361.0
014WKP6A_lower_right,831,362,830,362,830.0,362.0
014WKP6A_upper_left,788,279,788,277,788.0,277.0
014WKP6A_upper_right,787,282,785,284,785.0,284.0
014ZTUSK_lower_left,817,351,816,351,816.0,351.0
014ZTUSK_lower_right,816,351,815,351,815.0,351.0
014ZTUSK_upper_left,760,253,756,255,757.0,255.0
014ZTUSK_upper_right,768,250,767,251,767.0,251.0
0158T9ED_lower_left,821,349,812,350,826.0,350.0
0158T9ED_lower_right,826,351,830,351,830.0,351.0
0158T9ED_upper_left,803,256,800,255,800.0,255.0
0158T9ED_upper_right,800,253,798,255,798.0,255.0
015DUP26_lower_left,737,355,738,356,738.0,356.0
015DUP26_lower_right,734,356,736,356,736.0,356.0
015DUP26_upper_left,727,287,730,285,730.0,285.0
015DUP26_upper_right,725,285,725,284,725.0,284.0
015DXGZH_lower_left,774,315,772,306,772.0,306.0
015DXGZH_lower_right,774,313,773,306,773.0,306.0
015DXGZH_upper_left,731,263,731,260,731.0,260.0
015DXGZH_upper_right,760,272,760,274,760.0,274.0
015KFJV6_lower_left,819,313,818,320,818.0,320.0
015KFJV6_lower_right,816,318,818,324,818.0,324.0
015KFJV6_upper_left,798,295,798,298,798.0,298.0
015KFJV6_upper_right,801,303,802,303,802.0,303.0
015RM178_lower_left,836,334,836,333,836.0,333.0
015RM178_lower_right,831,332,829,333,829.0,333.0
015RM178_upper_left,775,296,774,303,774.0,303.0
015RM178_upper_right,790,306,790,307,790.0,307.0
015SUFFX_lower_left,805,333,799,334,799.0,334.0
015SUFFX_lower_right,800,333,800,334,800.0,334.0
015SUFFX_upper_left,748,287,747,288,747.0,288.0
015SUFFX_upper_right,755,289,755,291,755.0,291.0
015WW8D6_lower_left,787,379,786,379,786.0,379.0
015WW8D6_lower_right,775,368,769,368,779.0,371.0
015WW8D6_upper_left,733,264,728,259,729.0,259.0
015WW8D6_upper_right,717,256,718,255,718.0,255.0
015WXFRN_lower_left,829,352,822,344,839.0,361.0
015WXFRN_lower_right,819,343,822,344,822.0,344.0
015WXFRN_upper_left,778,298,781,299,790.0,304.0
015WXFRN_upper_right,788,296,786,297,786.0,297.0
0169NHT6_lower_left,846,347,849,349,849.0,349.0
0169NHT6_lower_right,849,348,850,348,850.0,348.0
0169NHT6_upper_left,828,283,830,283,830.0,283.0
0169NHT6_upper_right,826,282,826,280,826.0,280.0
016XWJ8X_lower_left,797,329,798,335,809.0,342.0
016XWJ8X_lower_right,798,339,799,339,808.0,346.0
016XWJ8X_upper_left,822,330,818,329,818.0,329.0
016XWJ8X_upper_right,833,328,834,326,834.0,326.0
0171X5EV_lower_left,789,343,791,343,791.0,343.0
0171X5EV_lower_right,791,345,790,345,790.0,345.0
0171X5EV_upper_left,793,283,793,281,793.0,281.0
0171X5EV_upper_right,790,284,788,279,788.0,279.0
017UYAW4_lower_left,802,335,803,338,803.0,338.0
017UYAW4_lower_right,803,336,808,337,808.0,337.0
017UYAW4_upper_left,778,283,776,280,776.0,280.0
017UYAW4_upper_right,775,285,773,285,773.0,285.0
0191WKPV_lower_left,767,319,766,325,766.0,325.0
0191WKPV_lower_right,759,334,758,330,758.0,330.0
0191WKPV_upper_left,772,299,778,303,778.0,303.0
0191WKPV_upper_right,769,299,770,301,770.0,301.0
019P6PZD_lower_left,834,353,834,352,834.0,352.0
019P6PZD_lower_right,828,346,828,347,828.0,347.0
019P6PZD_upper_left,798,261,796,262,796.0,262.0
019P6PZD_upper_right,796,259,796,258,796.0,258.0
01KRCSKD_lower_left,844,330,843,330,843.0,330.0
01KRCSKD_lower_right,846,327,846,329,846.0,329.0
01KRCSKD_upper_left,833,309,832,312,832.0,312.0
01KRCSKD_upper_right,813,311,811,304,812.0,304.0
01MAVHYZ_lower_left,777,361,780,361,780.0,361.0
01MAVHYZ_lower_right,780,361,784,362,784.0,362.0
01MAVHYZ_upper_left,820,311,822,311,822.0,311.0
01MAVHYZ_upper_right,823,314,820,313,820.0,313.0
1419YTY4_lower_left,762,416,763,416,763.0,416.0
1419YTY4_lower_right,750,407,741,409,740.0,409.0
1419YTY4_upper_left,820,369,823,371,823.0,371.0
1419YTY4_upper_right,814,369,816,370,816.0,370.0
3JCUF41E_lower_left,820,309,825,307,825.0,307.0
3JCUF41E_lower_right,817,307,822,307,811.0,308.0
3JCUF41E_upper_left,759,284,759,284,759.0,284.0
3JCUF41E_upper_right,774,288,775,291,775.0,291.0
45UD35GC_lower_left,815,328,806,324,822.0,330.0
45UD35GC_lower_right,803,321,803,322,803.0,322.0
45UD35GC_upper_left,790,262,791,263,791.0,263.0
45UD35GC_upper_right,799,268,798,269,798.0,269.0
4J24X0ES_lower_left,836,479,831,481,831.0,481.0
4J24X0ES_lower_right,827,477,819,478,819.0,478.0
4J24X0ES_upper_left,823,396,826,396,826.0,396.0
4J24X0ES_upper_right,823,394,826,395,826.0,395.0
50O9GUWT_lower_left,775,304,775,299,775.0,299.0
50O9GUWT_lower_right,772,291,774,294,775.0,294.0
50O9GUWT_upper_left,805,257,808,252,808.0,252.0
50O9GUWT_upper_right,803,255,807,252,807.0,252.0
56R9FBMK_lower_left,800,330,799,332,799.0,332.0
56R9FBMK_lower_right,804,330,803,330,803.0,330.0
56R9FBMK_upper_left,840,272,832,270,833.0,270.0
56R9FBMK_upper_right,836,267,833,265,833.0,265.0
5LP835GA_lower_left,765,381,769,376,769.0,376.0
5LP835GA_lower_right,777,377,779,376,779.0,376.0
5LP835GA_upper_left,802,387,804,387,804.0,387.0
5LP835GA_upper_right,800,384,801,385,801.0,385.0
5SD5BWLR_lower_left,793,361,795,361,795.0,361.0
5SD5BWLR_lower_right,795,360,793,360,801.0,362.0
5SD5BWLR_upper_left,781,288,781,287,781.0,287.0
5SD5BWLR_upper_right,782,288,781,288,781.0,288.0
6BWQC0CT_lower_left,799,310,800,311,800.0,311.0
6BWQC0CT_lower_right,801,310,802,310,802.0,310.0
6BWQC0CT_upper_left,766,271,767,273,767.0,273.0
6BWQC0CT_upper_right,769,274,766,275,766.0,275.0
6TZ254SP_lower_left,815,362,821,363,821.0,363.0
6TZ254SP_lower_right,819,362,810,363,821.0,363.0
6TZ254SP_upper_left,773,297,774,299,774.0,299.0
6TZ254SP_upper_right,777,296,774,295,774.0,295.0
7DRMXZ3A_lower_left,834,339,836,339,836.0,339.0
7DRMXZ3A_lower_right,831,322,830,324,830.0,324.0
7DRMXZ3A_upper_left,794,295,794,293,794.0,293.0
7DRMXZ3A_upper_right,771,288,769,287,769.0,287.0
7IGA0W6E_lower_left,814,360,811,362,811.0,362.0
7IGA0W6E_lower_right,820,364,818,363,818.0,363.0
7IGA0W6E_upper_left,784,300,776,299,776.0,299.0
7IGA0W6E_upper_right,810,306,806,307,806.0,307.0
87N5YSES_lower_left,820,481,829,482,829.0,482.0
87N5YSES_lower_right,816,482,819,482,819.0,482.0
87N5YSES_upper_left,840,377,840,377,840.0,377.0
87N5YSES_upper_right,839,378,836,377,836.0,377.0
8SLVB1AH_lower_left,796,383,794,382,794.0,382.0
8SLVB1AH_lower_right,798,382,801,382,802.0,382.0
8SLVB1AH_upper_left,770,268,775,267,775.0,267.0
8SLVB1AH_upper_right,764,270,759,265,759.0,265.0
9GSQBATD_lower_left,805,344,806,346,806.0,346.0
9GSQBATD_lower_right,797,344,799,345,799.0,345.0
9GSQBATD_upper_left,780,314,780,313,780.0,313.0
9GSQBATD_upper_right,789,312,787,315,787.0,315.0
9KDRM0A8_lower_left,730,334,728,334,728.0,334.0
9KDRM0A8_lower_right,732,341,724,335,724.0,335.0
9KDRM0A8_upper_left,741,303,742,303,742.0,303.0
9KDRM0A8_upper_right,736,294,737,295,737.0,295.0
AEOQ4Q9Q_lower_left,803,315,803,320,803.0,320.0
AEOQ4Q9Q_lower_right,800,322,794,313,805.0,321.0
AEOQ4Q9Q_upper_left,796,279,798,278,798.0,278.0
AEOQ4Q9Q_upper_right,800,266,801,273,801.0,273.0
ameziani_lower_left,862,386,855,385,855.0,385.0
ameziani_lower_right,838,376,841,376,841.0,376.0
ameziani_upper_left,849,353,854,354,854.0,354.0
ameziani_upper_right,844,353,845,352,845.0,352.0
ANLLPLV7_lower_left,743,322,734,327,761.0,328.0
ANLLPLV7_lower_right,755,334,760,329,760.0,329.0
ANLLPLV7_upper_left,734,312,736,314,736.0,314.0
ANLLPLV7_upper_right,738,317,736,316,736.0,316.0
ASUXPX7O_lower_left,747,333,750,334,750.0,334.0
ASUXPX7O_lower_right,751,335,750,336,750.0,336.0
ASUXPX7O_upper_left,754,274,745,273,744.0,273.0
ASUXPX7O_upper_right,755,267,755,268,755.0,268.0
AYSCFCO8_lower_left,832,358,830,359,830.0,359.0
AYSCFCO8_lower_right,834,357,834,356,834.0,356.0
AYSCFCO8_upper_left,800,267,799,267,799.0,267.0
AYSCFCO8_upper_right,795,254,796,261,796.0,261.0
B7JSFJPG_lower_left,789,364,780,362,791.0,365.0
B7JSFJPG_lower_right,792,365,792,365,792.0,365.0
B7JSFJPG_upper_left,775,326,779,328,779.0,328.0
B7JSFJPG_upper_right,772,324,774,325,774.0,325.0
BC0OWLNW_lower_left,820,411,816,411,816.0,411.0
BC0OWLNW_lower_right,833,409,831,412,831.0,412.0
BC0OWLNW_upper_left,895,376,896,375,875.0,378.0
BC0OWLNW_upper_right,875,361,883,362,883.0,362.0
BNQ3Q4G3_lower_left,780,426,775,426,775.0,426.0
BNQ3Q4G3_lower_right,771,421,777,422,777.0,422.0
BNQ3Q4G3_upper_left,805,374,809,373,809.0,373.0
BNQ3Q4G3_upper_right,777,382,776,379,776.0,379.0
C2SF98X5_lower_left,828,501,822,502,822.0,502.0
C2SF98X5_lower_right,803,496,795,492,811.0,496.0
C2SF98X5_upper_left,866,373,857,376,857.0,376.0
C2SF98X5_upper_right,845,372,848,374,848.0,374.0
CBSF6Q84_lower_left,761,316,757,318,757.0,318.0
CBSF6Q84_lower_right,760,320,757,321,752.0,322.0
CBSF6Q84_upper_left,759,326,759,325,759.0,325.0
CBSF6Q84_upper_right,754,323,753,324,753.0,324.0
