Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
GNR6QR3P_lower_right,795.0,350.0,791.70458984375,350.0799865722656,3.3,0.26
5LP835GA_upper_right,801.0,385.0,798.0799560546875,384.6399841308594,2.94,0.24
0191WKPV_lower_right,758.0,330.0,757.2835693359375,332.1600036621094,2.28,0.18
01E5XG8Z_lower_left,800.0,329.0,798.0799560546875,333.44000244140625,4.84,0.39
01ETW4JZ_upper_right,840.0,287.0,844.1599731445312,283.5199890136719,5.42,0.43
DEBDX44O_upper_right,843.0,373.0,858.4266967773438,373.1199951171875,15.43,1.23
01FURZ62_lower_right,769.0,312.0,782.719970703125,314.239990234375,13.9,1.11
EB6DQGAR_lower_right,835.0,408.0,834.0279541015625,411.5199890136719,3.65,0.29
0145NKWZ_lower_left,848.0,352.0,849.2799682617188,350.0799865722656,2.31,0.18
MNIAB8K3_lower_left,792.0,336.0,790.3999633789062,342.3999938964844,6.6,0.53
0158T9ED_upper_left,800.0,255.0,798.0799560546875,255.36000061035156,1.95,0.16
013NXP1H_upper_left,776.0,268.0,776.3200073242188,270.7200012207031,2.74,0.22
9GSQBATD_lower_right,799.0,345.0,793.1220703125,346.239990234375,6.01,0.48
0AAQ6BO3_upper_right,803.0,278.0,801.9199829101562,278.3999938964844,1.15,0.09
HZH8DYC7_lower_right,864.0,400.0,860.1265258789062,399.9565124511719,3.87,0.31
015WW8D6_lower_right,779.0,371.0,772.47998046875,369.2799987792969,6.74,0.54
0169NHT6_upper_left,830.0,283.0,827.5199584960938,279.67999267578125,4.14,0.33
ANLLPLV7_upper_left,736.0,314.0,735.3599853515625,312.0549011230469,2.05,0.16
0145NKWZ_upper_right,842.0,272.0,840.3200073242188,272.0,1.68,0.13
KBGVMAF7_upper_left,813.0,240.0,801.9199829101562,234.87998962402344,12.21,0.98
01HMZ9RN_lower_right,785.0,345.0,784.0,344.9599914550781,1.0,0.08
01ETW4JZ_lower_left,843.0,337.0,840.4503173828125,339.8399963378906,3.82,0.31
013ZD6EX_upper_right,723.0,304.0,718.719970703125,304.0,4.28,0.34
01FAYE3T_upper_right,765.0,280.0,767.3599853515625,278.3999938964844,2.85,0.23
0158T9ED_lower_right,830.0,351.0,826.4215698242188,350.0799865722656,3.69,0.3
BC0OWLNW_lower_left,816.0,411.0,819.8399658203125,415.3599853515625,5.81,0.46
015WW8D6_upper_left,729.0,259.0,734.2670288085938,261.7599792480469,5.95,0.48
01G1AKV2_lower_right,820.0,379.0,822.4568481445312,380.79998779296875,3.05,0.24
015WXFRN_upper_right,786.0,297.0,786.5599975585938,296.31573486328125,0.88,0.07
0158T9ED_upper_right,798.0,255.0,792.9599609375,255.36000061035156,5.05,0.4
IHKL3Y8N_lower_left,790.0,376.0,787.8399658203125,376.9599914550781,2.36,0.19
4J24X0ES_lower_right,819.0,478.0,823.6799926757812,479.3599853515625,4.87,0.39
DEBDX44O_upper_left,856.0,364.0,855.6799926757812,362.8800048828125,1.16,0.09
01E5XG8Z_upper_right,787.0,282.0,786.5599975585938,278.3999938964844,3.63,0.29
013NXP1H_upper_right,732.0,255.0,730.8812255859375,256.6399841308594,1.99,0.16
0KIUZ4G5_lower_left,872.0,354.0,895.3599853515625,352.6399841308594,23.4,1.87
LGADV15G_lower_right,802.0,353.0,798.2696533203125,351.3599853515625,4.07,0.33
CBSF6Q84_lower_right,752.0,322.0,753.3626098632812,316.79998779296875,5.38,0.43
01ETW4JZ_upper_left,832.0,286.0,828.532470703125,282.239990234375,5.11,0.41
0148UTKX_upper_left,785.0,327.0,784.0,324.47998046875,2.71,0.22
DEBDX44O_lower_right,840.0,523.0,840.3200073242188,525.469970703125,2.49,0.2
013NXP1H_lower_left,816.0,357.0,819.9432373046875,352.6399841308594,5.88,0.47
E552BK9X_upper_right,821.0,252.0,821.1199951171875,252.79998779296875,0.81,0.06
0VFZZY32_lower_left,781.0,432.0,782.958984375,426.8800048828125,5.48,0.44
014ZTUSK_lower_left,816.0,351.0,818.5599975585938,350.0799865722656,2.72,0.22
01KRCSKD_upper_left,832.0,312.0,827.5645141601562,310.3999938964844,4.72,0.38
JJEIMAPR_lower_right,844.0,422.0,845.6629638671875,423.1588134765625,2.03,0.16
IHKL3Y8N_upper_left,770.0,311.0,769.9199829101562,309.1199951171875,1.88,0.15
56R9FBMK_lower_right,803.0,330.0,801.9199829101562,334.7200012207031,4.84,0.39
015WXFRN_upper_left,790.0,304.0,782.719970703125,297.6000061035156,9.69,0.78
017UYAW4_upper_right,773.0,285.0,775.0399780273438,280.9599914550781,4.53,0.36
01J9RWK6_upper_right,739.0,311.0,736.6399536132812,309.1199951171875,3.02,0.24
013NUWYR_lower_right,818.0,236.0,818.7427368164062,237.4399871826172,1.62,0.13
01J1XXHR_lower_right,760.0,330.0,773.760009765625,333.44000244140625,14.18,1.13
016XWJ8X_upper_right,834.0,326.0,828.7999877929688,324.47998046875,5.42,0.43
01JH0154_upper_left,819.0,301.0,819.8399658203125,301.2119140625,0.87,0.07
BC0OWLNW_lower_right,831.0,412.0,826.3260498046875,415.61126708984375,5.91,0.47
0KIUZ4G5_lower_right,900.0,353.0,906.8800048828125,352.6399841308594,6.89,0.55
9GSQBATD_upper_left,780.0,313.0,781.4400024414062,310.3999938964844,2.97,0.24
015KFJV6_upper_right,802.0,303.0,800.8917846679688,304.0,1.49,0.12
01J1XXHR_upper_left,777.0,292.0,781.5886840820312,289.91998291015625,5.04,0.4
KWWQJ60M_lower_left,780.0,349.0,787.8441772460938,348.79998779296875,7.85,0.63
B7JSFJPG_upper_left,779.0,328.0,779.1101684570312,325.7599792480469,2.24,0.18
5SD5BWLR_upper_left,781.0,287.0,782.8239135742188,283.5199890136719,3.93,0.31
LA67YYVJ_lower_right,803.0,440.0,801.9573364257812,440.9599914550781,1.42,0.11
01FURZ62_lower_left,791.0,317.0,785.4026489257812,314.239990234375,6.24,0.5
KBGVMAF7_lower_left,839.0,349.0,835.199951171875,348.79998779296875,3.81,0.3
014EZU5V_upper_right,791.0,285.0,787.9367065429688,280.9599914550781,5.07,0.41
J1A5FRQN_lower_left,805.0,447.0,801.9199829101562,447.3599853515625,3.1,0.25
9GSQBATD_lower_left,806.0,346.0,804.47998046875,347.5199890136719,2.15,0.17
014JJ942_upper_left,770.0,278.0,780.4046630859375,277.1199951171875,10.44,0.84
9KDRM0A8_lower_right,724.0,335.0,729.1563720703125,341.1199951171875,8.0,0.64
LA67YYVJ_lower_left,783.0,432.0,781.4400024414062,429.44000244140625,3.0,0.24
01422MSK_lower_left,739.0,302.0,753.5962524414062,310.3999938964844,16.84,1.35
E552BK9X_lower_left,759.0,288.0,744.3200073242188,284.79998779296875,15.02,1.2
45UD35GC_upper_right,798.0,269.0,792.9599609375,272.0,5.87,0.47
015SUFFX_lower_right,800.0,334.0,798.0799560546875,337.2799987792969,3.8,0.3
01FAYE3T_lower_right,772.0,367.0,769.9199829101562,365.44000244140625,2.6,0.21
