Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
GNR6QR3P_lower_right,795.0,350.0,791.6799926757812,351.5848388671875,3.68,0.29
5LP835GA_upper_right,801.0,385.0,797.8825073242188,383.76318359375,3.35,0.27
0191WKPV_lower_right,758.0,330.0,758.3999633789062,327.2876892089844,2.74,0.22
01E5XG8Z_lower_left,800.0,329.0,799.4910888671875,328.32000732421875,0.85,0.07
01ETW4JZ_upper_right,840.0,287.0,846.8507690429688,285.55401611328125,7.0,0.56
DEBDX44O_upper_right,843.0,373.0,858.239990234375,374.6949462890625,15.33,1.23
01FURZ62_lower_right,769.0,312.0,782.8228149414062,314.6701354980469,14.08,1.13
EB6DQGAR_lower_right,835.0,408.0,833.5728149414062,411.9617004394531,4.21,0.34
0145NKWZ_lower_left,848.0,352.0,850.7417602539062,352.0862121582031,2.74,0.22
MNIAB8K3_lower_left,792.0,336.0,791.7052001953125,337.7139892578125,1.74,0.14
0158T9ED_upper_left,800.0,255.0,799.5198364257812,250.96067810058594,4.07,0.33
013NXP1H_upper_left,776.0,268.0,780.1599731445312,269.44000244140625,4.4,0.35
9GSQBATD_lower_right,799.0,345.0,797.024658203125,344.9599914550781,1.98,0.16
0AAQ6BO3_upper_right,803.0,278.0,805.760009765625,276.4660339355469,3.16,0.25
HZH8DYC7_lower_right,864.0,400.0,862.1827392578125,396.2751770019531,4.14,0.33
015WW8D6_lower_right,779.0,371.0,775.1551513671875,370.55999755859375,3.87,0.31
0169NHT6_upper_left,830.0,283.0,828.8941040039062,279.9571533203125,3.24,0.26
ANLLPLV7_upper_left,736.0,314.0,736.6399536132812,313.8133850097656,0.67,0.05
0145NKWZ_upper_right,842.0,272.0,842.8800048828125,274.02850341796875,2.21,0.18
KBGVMAF7_upper_left,813.0,240.0,808.849853515625,234.87998962402344,6.59,0.53
01HMZ9RN_lower_right,785.0,345.0,785.2799682617188,344.9599914550781,0.28,0.02
01ETW4JZ_lower_left,843.0,337.0,842.8800048828125,337.7593688964844,0.77,0.06
013ZD6EX_upper_right,723.0,304.0,718.719970703125,306.55999755859375,4.99,0.4
01FAYE3T_upper_right,765.0,280.0,766.15234375,278.3999938964844,1.97,0.16
0158T9ED_lower_right,830.0,351.0,827.5199584960938,350.0799865722656,2.65,0.21
BC0OWLNW_lower_left,816.0,411.0,818.5599975585938,412.7471008300781,3.1,0.25
015WW8D6_upper_left,729.0,259.0,727.6799926757812,259.1999816894531,1.34,0.11
01G1AKV2_lower_right,820.0,379.0,819.8399658203125,380.9333801269531,1.94,0.16
015WXFRN_upper_right,786.0,297.0,788.385986328125,300.1600036621094,3.96,0.32
0158T9ED_upper_right,798.0,255.0,795.5199584960938,250.27259826660156,5.34,0.43
IHKL3Y8N_lower_left,790.0,376.0,788.2385864257812,378.239990234375,2.85,0.23
4J24X0ES_lower_right,819.0,478.0,824.9599609375,477.7018737792969,5.97,0.48
DEBDX44O_upper_left,856.0,364.0,855.6799926757812,363.5491638183594,0.55,0.04
01E5XG8Z_upper_right,787.0,282.0,786.5599975585938,282.571044921875,0.72,0.06
013NXP1H_upper_right,732.0,255.0,730.4652099609375,250.36972045898438,4.88,0.39
0KIUZ4G5_lower_left,872.0,354.0,895.4024047851562,353.4302673339844,23.41,1.87
LGADV15G_lower_right,802.0,353.0,799.3876342773438,352.6399841308594,2.64,0.21
CBSF6Q84_lower_right,752.0,322.0,753.2799682617188,319.08935546875,3.18,0.25
01ETW4JZ_upper_left,832.0,286.0,828.3388671875,283.7419128417969,4.3,0.34
0148UTKX_upper_left,785.0,327.0,785.5645751953125,322.29681396484375,4.74,0.38
DEBDX44O_lower_right,840.0,523.0,842.9105224609375,528.0587158203125,5.84,0.47
013NXP1H_lower_left,816.0,357.0,819.8399658203125,353.9396057128906,4.91,0.39
E552BK9X_upper_right,821.0,252.0,819.8465576171875,252.8054962158203,1.41,0.11
0VFZZY32_lower_left,781.0,432.0,782.719970703125,430.7200012207031,2.14,0.17
014ZTUSK_lower_left,816.0,351.0,818.5599975585938,350.0799865722656,2.72,0.22
01KRCSKD_upper_left,832.0,312.0,827.545166015625,311.67999267578125,4.47,0.36
JJEIMAPR_lower_right,844.0,422.0,849.376953125,422.4088439941406,5.39,0.43
IHKL3Y8N_upper_left,770.0,311.0,771.4009399414062,310.60333251953125,1.46,0.12
56R9FBMK_lower_right,803.0,330.0,801.9320068359375,330.8800048828125,1.38,0.11
015WXFRN_upper_left,790.0,304.0,784.0608520507812,300.37078857421875,6.96,0.56
017UYAW4_upper_right,773.0,285.0,777.8598022460938,283.1271667480469,5.21,0.42
01J9RWK6_upper_right,739.0,311.0,731.5199584960938,309.1199951171875,7.71,0.62
013NUWYR_lower_right,818.0,236.0,818.713134765625,238.04774475097656,2.17,0.17
01J1XXHR_lower_right,760.0,330.0,772.5524291992188,334.0304260253906,13.18,1.05
016XWJ8X_upper_right,834.0,326.0,828.5919189453125,322.19171142578125,6.61,0.53
01JH0154_upper_left,819.0,301.0,820.0557861328125,305.65484619140625,4.77,0.38
BC0OWLNW_lower_right,831.0,412.0,825.9622192382812,412.6559753417969,5.08,0.41
0KIUZ4G5_lower_right,900.0,353.0,906.8800048828125,352.41033935546875,6.91,0.55
9GSQBATD_upper_left,780.0,313.0,782.719970703125,313.6202697753906,2.79,0.22
015KFJV6_upper_right,802.0,303.0,799.3599853515625,306.55999755859375,4.43,0.35
01J1XXHR_upper_left,777.0,292.0,782.83154296875,291.3926086425781,5.86,0.47
KWWQJ60M_lower_left,780.0,349.0,787.8399658203125,352.0318603515625,8.41,0.67
B7JSFJPG_upper_left,779.0,328.0,782.9315185546875,323.8561096191406,5.71,0.46
5SD5BWLR_upper_left,781.0,287.0,782.719970703125,284.2688903808594,3.23,0.26
LA67YYVJ_lower_right,803.0,440.0,800.5198364257812,438.6282043457031,2.83,0.23
01FURZ62_lower_left,791.0,317.0,786.6179809570312,314.9378356933594,4.84,0.39
KBGVMAF7_lower_left,839.0,349.0,835.199951171875,348.88934326171875,3.8,0.3
014EZU5V_upper_right,791.0,285.0,789.1199951171875,283.553955078125,2.37,0.19
J1A5FRQN_lower_left,805.0,447.0,800.8585815429688,450.2380676269531,5.26,0.42
9GSQBATD_lower_left,806.0,346.0,807.0399780273438,344.9599914550781,1.47,0.12
014JJ942_upper_left,770.0,278.0,781.4400024414062,278.6983642578125,11.46,0.92
9KDRM0A8_lower_right,724.0,335.0,728.9599609375,337.4949035644531,5.55,0.44
LA67YYVJ_lower_left,783.0,432.0,782.7810668945312,432.2889404296875,0.36,0.03
01422MSK_lower_left,739.0,302.0,753.2799682617188,313.0832214355469,18.08,1.45
E552BK9X_lower_left,759.0,288.0,750.719970703125,283.5199890136719,9.41,0.75
45UD35GC_upper_right,798.0,269.0,796.3251953125,269.9169616699219,1.91,0.15
015SUFFX_lower_right,800.0,334.0,799.1160888671875,336.0,2.19,0.18
01FAYE3T_lower_right,772.0,367.0,773.677490234375,366.8176574707031,1.69,0.14
9GSQBATD_upper_right,787.0,315.0,786.5599975585938,314.64178466796875,0.57,0.05
50O9GUWT_upper_right,807.0,252.0,805.760009765625,248.05462646484375,4.14,0.33
01G1GYUF_lower_right,776.0,355.0,778.9571533203125,352.8963317871094,3.63,0.29
AEOQ4Q9Q_upper_left,798.0,278.0,798.0799560546875,277.3448486328125,0.66,0.05
KWWQJ60M_upper_left,761.0,274.0,760.9599609375,272.0,2.0,0.16
