Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
GNR6QR3P_lower_right,795.0,350.0,792.9962158203125,350.0799865722656,2.01,0.16
5LP835GA_upper_right,801.0,385.0,798.1837158203125,383.84918212890625,3.04,0.24
0191WKPV_lower_right,758.0,330.0,755.8399658203125,332.7733459472656,3.52,0.28
01E5XG8Z_lower_left,800.0,329.0,798.1683959960938,332.2611389160156,3.74,0.3
01ETW4JZ_upper_right,840.0,287.0,843.0343627929688,284.3374328613281,4.04,0.32
DEBDX44O_upper_right,843.0,373.0,860.7999877929688,377.67913818359375,18.4,1.47
01FURZ62_lower_right,769.0,312.0,782.719970703125,315.5199890136719,14.16,1.13
EB6DQGAR_lower_right,835.0,408.0,831.5693359375,411.6872253417969,5.04,0.4
0145NKWZ_lower_left,848.0,352.0,850.7444458007812,351.3599853515625,2.82,0.23
MNIAB8K3_lower_left,792.0,336.0,791.6799926757812,338.55999755859375,2.58,0.21
0158T9ED_upper_left,800.0,255.0,798.3221435546875,252.99317932128906,2.62,0.21
013NXP1H_upper_left,776.0,268.0,778.8800048828125,269.4659423828125,3.23,0.26
9GSQBATD_lower_right,799.0,345.0,795.5199584960938,343.67999267578125,3.72,0.3
0AAQ6BO3_upper_right,803.0,278.0,800.8715209960938,278.5828857421875,2.21,0.18
HZH8DYC7_lower_right,864.0,400.0,862.0799560546875,395.8855895996094,4.54,0.36
015WW8D6_lower_right,779.0,371.0,773.788330078125,369.3543395996094,5.47,0.44
0169NHT6_upper_left,830.0,283.0,827.560546875,279.9740905761719,3.89,0.31
ANLLPLV7_upper_left,736.0,314.0,736.8942260742188,315.5938720703125,1.83,0.15
0145NKWZ_upper_right,842.0,272.0,839.0399780273438,272.7001953125,3.04,0.24
KBGVMAF7_upper_left,813.0,240.0,804.9765625,235.08465576171875,9.41,0.75
01HMZ9RN_lower_right,785.0,345.0,784.0,344.0126953125,1.41,0.11
01ETW4JZ_lower_left,843.0,337.0,842.9458618164062,341.1199951171875,4.12,0.33
013ZD6EX_upper_right,723.0,304.0,722.7717895507812,306.55999755859375,2.57,0.21
01FAYE3T_upper_right,765.0,280.0,764.7999877929688,279.9220886230469,0.21,0.02
0158T9ED_lower_right,830.0,351.0,827.5199584960938,351.3599853515625,2.51,0.2
BC0OWLNW_lower_left,816.0,411.0,817.670166015625,414.0799865722656,3.5,0.28
015WW8D6_upper_left,729.0,259.0,725.4562377929688,261.7599792480469,4.49,0.36
01G1AKV2_lower_right,820.0,379.0,819.9026489257812,381.0570983886719,2.06,0.16
015WXFRN_upper_right,786.0,297.0,789.2955932617188,301.44000244140625,5.53,0.44
0158T9ED_upper_right,798.0,255.0,794.3075561523438,252.9000701904297,4.25,0.34
IHKL3Y8N_lower_left,790.0,376.0,790.5866088867188,380.2657775878906,4.31,0.34
4J24X0ES_lower_right,819.0,478.0,822.5653076171875,481.9851989746094,5.35,0.43
DEBDX44O_upper_left,856.0,364.0,855.6799926757812,360.9330749511719,3.08,0.25
01E5XG8Z_upper_right,787.0,282.0,785.2799682617188,280.4405517578125,2.32,0.19
013NXP1H_upper_right,732.0,255.0,730.5831909179688,252.79998779296875,2.62,0.21
0KIUZ4G5_lower_left,872.0,354.0,894.0799560546875,352.7620544433594,22.11,1.77
LGADV15G_lower_right,802.0,353.0,798.0799560546875,352.6399841308594,3.94,0.32
CBSF6Q84_lower_right,752.0,322.0,754.65234375,319.75360107421875,3.48,0.28
01ETW4JZ_upper_left,832.0,286.0,828.8713989257812,282.7852783203125,4.49,0.36
0148UTKX_upper_left,785.0,327.0,784.2969360351562,323.1999816894531,3.86,0.31
DEBDX44O_lower_right,840.0,523.0,839.260009765625,526.8103637695312,3.88,0.31
013NXP1H_lower_left,816.0,357.0,817.2799682617188,352.6399841308594,4.54,0.36
E552BK9X_upper_right,821.0,252.0,819.8399658203125,250.39991760253906,1.98,0.16
0VFZZY32_lower_left,781.0,432.0,782.92529296875,428.1600036621094,4.3,0.34
