Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
GNR6QR3P_lower_right,795.0,350.0,790.3999633789062,350.0799865722656,4.6,0.37
5LP835GA_upper_right,801.0,385.0,795.5199584960938,383.3599853515625,5.72,0.46
0191WKPV_lower_right,758.0,330.0,755.8399658203125,331.3316650390625,2.54,0.2
01E5XG8Z_lower_left,800.0,329.0,795.5552978515625,333.2419738769531,6.14,0.49
01ETW4JZ_upper_right,840.0,287.0,840.3200073242188,284.81439208984375,2.21,0.18
DEBDX44O_upper_right,843.0,373.0,860.7999877929688,380.5547180175781,19.34,1.55
01FURZ62_lower_right,769.0,312.0,782.719970703125,314.239990234375,13.9,1.11
EB6DQGAR_lower_right,835.0,408.0,830.0799560546875,411.9374084472656,6.3,0.5
0145NKWZ_lower_left,848.0,352.0,849.2799682617188,352.6399841308594,1.43,0.11
MNIAB8K3_lower_left,792.0,336.0,790.3999633789062,337.2799987792969,2.05,0.16
0158T9ED_upper_left,800.0,255.0,795.5199584960938,255.36000061035156,4.49,0.36
013NXP1H_upper_left,776.0,268.0,776.3200073242188,269.44000244140625,1.48,0.12
9GSQBATD_lower_right,799.0,345.0,792.9599609375,344.79705810546875,6.04,0.48
0AAQ6BO3_upper_right,803.0,278.0,803.2000122070312,279.0264587402344,1.05,0.08
HZH8DYC7_lower_right,864.0,400.0,859.5199584960938,395.3093566894531,6.49,0.52
015WW8D6_lower_right,779.0,371.0,772.47998046875,371.8399963378906,6.57,0.53
0169NHT6_upper_left,830.0,283.0,827.5199584960938,280.9892272949219,3.19,0.26
ANLLPLV7_upper_left,736.0,314.0,736.6399536132812,313.91162109375,0.65,0.05
0145NKWZ_upper_right,842.0,272.0,835.199951171875,270.7200012207031,6.92,0.55
KBGVMAF7_upper_left,813.0,240.0,801.9199829101562,234.87998962402344,12.21,0.98
01HMZ9RN_lower_right,785.0,345.0,784.0,344.62835693359375,1.07,0.09
01ETW4JZ_lower_left,843.0,337.0,836.47998046875,338.55999755859375,6.7,0.54
013ZD6EX_upper_right,723.0,304.0,718.719970703125,305.01873779296875,4.4,0.35
01FAYE3T_upper_right,765.0,280.0,766.0799560546875,280.365478515625,1.14,0.09
0158T9ED_lower_right,830.0,351.0,826.239990234375,350.0799865722656,3.87,0.31
BC0OWLNW_lower_left,816.0,411.0,817.2799682617188,415.3599853515625,4.54,0.36
015WW8D6_upper_left,729.0,259.0,725.1199951171875,263.0400085449219,5.6,0.45
01G1AKV2_lower_right,820.0,379.0,821.1199951171875,380.3724670410156,1.77,0.14
015WXFRN_upper_right,786.0,297.0,787.8399658203125,300.1600036621094,3.66,0.29
0158T9ED_upper_right,798.0,255.0,791.6799926757812,255.36000061035156,6.33,0.51
IHKL3Y8N_lower_left,790.0,376.0,787.8399658203125,378.239990234375,3.11,0.25
4J24X0ES_lower_right,819.0,478.0,823.6799926757812,482.18878173828125,6.28,0.5
DEBDX44O_upper_left,856.0,364.0,855.6799926757812,365.0338134765625,1.08,0.09
01E5XG8Z_upper_right,787.0,282.0,785.2799682617188,279.67999267578125,2.89,0.23
013NXP1H_upper_right,732.0,255.0,730.239990234375,255.36000061035156,1.8,0.14
0KIUZ4G5_lower_left,872.0,354.0,894.0799560546875,352.6399841308594,22.12,1.77
LGADV15G_lower_right,802.0,353.0,798.0799560546875,351.3145751953125,4.27,0.34
CBSF6Q84_lower_right,752.0,322.0,754.1820678710938,316.7327880859375,5.7,0.46
01ETW4JZ_upper_left,832.0,286.0,827.5199584960938,284.79998779296875,4.64,0.37
0148UTKX_upper_left,785.0,327.0,784.0,321.8103942871094,5.29,0.42
DEBDX44O_lower_right,840.0,523.0,837.760009765625,527.0099487304688,4.59,0.37
013NXP1H_lower_left,816.0,357.0,817.2799682617188,352.6399841308594,4.54,0.36
E552BK9X_upper_right,821.0,252.0,819.8399658203125,251.0074920654297,1.53,0.12
0VFZZY32_lower_left,781.0,432.0,781.4400024414062,430.7200012207031,1.35,0.11
014ZTUSK_lower_left,816.0,351.0,817.2799682617188,350.0172119140625,1.61,0.13
01KRCSKD_upper_left,832.0,312.0,827.5199584960938,311.67999267578125,4.49,0.36
JJEIMAPR_lower_right,844.0,422.0,845.4400024414062,423.67279052734375,2.21,0.18
IHKL3Y8N_upper_left,770.0,311.0,769.9199829101562,310.3999938964844,0.61,0.05
