Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
KS0FGXGB_upper_right,816.0,358.0,819.8399658203125,359.0149841308594,3.97,0.32
015WXFRN_upper_left,790.0,304.0,784.0043334960938,299.2138671875,7.67,0.61
01KRCSKD_lower_left,843.0,330.0,841.7606201171875,330.8800048828125,1.52,0.12
015DUP26_upper_left,730.0,285.0,727.7138671875,282.5754699707031,3.33,0.27
3JCUF41E_upper_left,759.0,284.0,760.9599609375,283.11981201171875,2.15,0.17
014WKP6A_upper_left,788.0,277.0,783.6677856445312,276.2135009765625,4.4,0.35
9KDRM0A8_lower_left,728.0,334.0,729.3953247070312,334.030029296875,1.4,0.11
014EZU5V_lower_right,820.0,344.0,818.9979248046875,345.8533630371094,2.11,0.17
BNQ3Q4G3_lower_right,777.0,422.0,779.7431030273438,421.69488525390625,2.76,0.22
01422MSK_lower_left,739.0,302.0,753.3168334960938,311.3745422363281,17.11,1.37
KWWQJ60M_lower_left,780.0,349.0,787.108642578125,348.4755859375,7.13,0.57
HZH8DYC7_lower_left,856.0,392.0,858.239990234375,389.7599792480469,3.17,0.25
013ZD6EX_lower_left,732.0,325.0,733.630615234375,324.74053955078125,1.65,0.13
01422MSK_upper_right,759.0,291.0,753.4000854492188,291.1999816894531,5.6,0.45
015WXFRN_lower_left,839.0,361.0,827.1415405273438,348.52960205078125,17.21,1.38
0191WKPV_upper_right,770.0,301.0,770.0863647460938,301.44000244140625,0.45,0.04
DEBDX44O_upper_right,843.0,373.0,859.5199584960938,379.5199890136719,17.76,1.42
015DXGZH_lower_left,772.0,306.0,771.4315185546875,307.80938720703125,1.9,0.15
E4GH1D3S_lower_right,853.0,414.0,857.989013671875,416.6399841308594,5.64,0.45
6TZ254SP_lower_left,821.0,363.0,819.8399658203125,362.67095947265625,1.21,0.1
C2SF98X5_lower_left,822.0,502.0,821.1199951171875,499.8399963378906,2.33,0.19
J1A5FRQN_lower_left,805.0,447.0,804.47998046875,450.9685974121094,4.0,0.32
LA67YYVJ_lower_left,783.0,432.0,782.7898559570312,431.81951904296875,0.28,0.02
E23G704K_lower_left,783.0,346.0,783.9520874023438,347.6702575683594,1.92,0.15
HZH8DYC7_upper_right,875.0,371.0,872.8333129882812,370.9006042480469,2.17,0.17
014ZTUSK_upper_right,767.0,251.0,767.177001953125,251.51998901367188,0.55,0.04
LGADV15G_upper_left,786.0,261.0,785.2799682617188,262.4881896972656,1.65,0.13
45UD35GC_lower_right,803.0,322.0,805.599853515625,318.85406494140625,4.08,0.33
ameziani_lower_left,855.0,385.0,854.0165405273438,384.6399841308594,1.05,0.08
50O9GUWT_upper_right,807.0,252.0,804.5262451171875,252.79425048828125,2.6,0.21
1419YTY4_upper_left,823.0,371.0,820.5242919921875,371.8399963378906,2.61,0.21
IHKL3Y8N_lower_left,790.0,376.0,788.7337036132812,379.105224609375,3.35,0.27
7IGA0W6E_lower_left,811.0,362.0,808.3200073242188,361.05609130859375,2.84,0.23
6TZ254SP_upper_right,774.0,295.0,773.9493408203125,294.66058349609375,0.34,0.03
016XWJ8X_lower_left,809.0,342.0,799.4977416992188,335.7617492675781,11.37,0.91
9KDRM0A8_upper_left,742.0,303.0,745.7730102539062,306.54852294921875,5.18,0.41
AYSCFCO8_upper_right,796.0,261.0,795.5199584960938,260.9576416015625,0.48,0.04
H8RSX6T2_lower_left,826.0,344.0,819.8399658203125,344.6177673339844,6.19,0.5
45UD35GC_upper_right,798.0,269.0,798.6459350585938,272.33978271484375,3.4,0.27
ANLLPLV7_upper_right,736.0,316.0,735.109619140625,313.5725402832031,2.59,0.21
017UYAW4_lower_right,808.0,337.0,805.3610229492188,338.20513916015625,2.9,0.23
9GSQBATD_lower_right,799.0,345.0,799.3599853515625,346.2433166503906,1.29,0.1
ANLLPLV7_upper_left,736.0,314.0,732.7999877929688,311.36859130859375,4.14,0.33
015WW8D6_lower_left,786.0,379.0,784.698486328125,381.77783203125,3.07,0.25
BNQ3Q4G3_lower_left,775.0,426.0,778.3878173828125,424.3199768066406,3.78,0.3
JJEIMAPR_lower_left,834.0,433.0,835.3060913085938,434.0624084472656,1.68,0.13
GNR6QR3P_upper_left,779.0,293.0,782.719970703125,292.8731689453125,3.72,0.3
ANLLPLV7_lower_right,760.0,329.0,760.074462890625,328.79388427734375,0.22,0.02
017UYAW4_lower_left,803.0,338.0,800.8981323242188,341.7501525878906,4.3,0.34
9KDRM0A8_lower_right,724.0,335.0,727.0923461914062,336.2059020996094,3.32,0.27
0158T9ED_upper_left,800.0,255.0,801.9199829101562,253.76248168945312,2.28,0.18
ASUXPX7O_upper_left,744.0,273.0,765.1104736328125,276.70745849609375,21.43,1.71
5LP835GA_upper_right,801.0,385.0,799.9309692382812,381.87646484375,3.3,0.26
013ZD6EX_upper_right,723.0,304.0,718.7720336914062,304.0303955078125,4.23,0.34
FKSYZ9LA_lower_left,837.0,326.0,836.6973266601562,325.37677001953125,0.69,0.06
MNIAB8K3_upper_left,809.0,266.0,806.0170288085938,270.5614013671875,5.45,0.44
015SUFFX_upper_left,747.0,288.0,747.7548217773438,288.21075439453125,0.78,0.06
4J24X0ES_lower_left,831.0,481.0,831.6483154296875,485.16717529296875,4.22,0.34
8SLVB1AH_lower_left,794.0,382.0,799.2472534179688,382.5834655761719,5.28,0.42
BNQ3Q4G3_upper_left,809.0,373.0,806.596923828125,373.9906311035156,2.6,0.21
6BWQC0CT_lower_right,802.0,310.0,803.446533203125,311.12847900390625,1.83,0.15
015WW8D6_lower_right,779.0,371.0,771.3742065429688,368.9505920410156,7.9,0.63
C2SF98X5_lower_right,811.0,496.0,813.4400024414062,496.07757568359375,2.44,0.2
E23G704K_upper_left,786.0,307.0,788.1419067382812,314.4651184082031,7.77,0.62
0145NKWZ_lower_right,849.0,351.0,849.3530883789062,349.9249267578125,1.13,0.09
E552BK9X_lower_left,759.0,288.0,748.1599731445312,286.6400146484375,10.93,0.87
7DRMXZ3A_upper_left,794.0,293.0,794.7612915039062,292.4749755859375,0.92,0.07
K9X2TVDE_lower_left,771.0,409.0,771.4718627929688,407.67999267578125,1.4,0.11
56R9FBMK_upper_left,833.0,270.0,838.8812255859375,272.29693603515625,6.31,0.5
0171X5EV_lower_right,790.0,345.0,789.1199951171875,346.0086364746094,1.34,0.11
7DRMXZ3A_lower_right,830.0,324.0,831.4469604492188,324.45306396484375,1.52,0.12
LGADV15G_upper_right,788.0,262.0,787.4811401367188,263.0400085449219,1.16,0.09
1419YTY4_lower_right,740.0,409.0,750.2102661132812,409.06488037109375,10.21,0.82
013FHA7K_upper_left,799.0,276.0,799.2415161132812,275.389404296875,0.66,0.05
015RM178_upper_left,774.0,303.0,773.84130859375,306.55999755859375,3.56,0.28
