Filename,X_Model,Y_Model,X_Refined,Y_Refined,X_True,Y_True
GNR6QR3P_lower_right,790,351,783,349,795.0,350.0
5LP835GA_upper_right,798,383,801,385,801.0,385.0
0191WKPV_lower_right,757,333,758,330,758.0,330.0
01E5XG8Z_lower_left,796,333,799,329,800.0,329.0
01ETW4JZ_upper_right,848,284,841,287,840.0,287.0
DEBDX44O_upper_right,859,373,856,370,843.0,373.0
01FURZ62_lower_right,781,314,774,312,769.0,312.0
EB6DQGAR_lower_right,832,410,835,408,835.0,408.0
0145NKWZ_lower_left,849,352,847,352,848.0,352.0
MNIAB8K3_lower_left,790,341,791,336,792.0,336.0
0158T9ED_upper_left,796,254,800,255,800.0,255.0
013NXP1H_upper_left,777,269,776,268,776.0,268.0
9GSQBATD_lower_right,794,344,799,345,799.0,345.0
0AAQ6BO3_upper_right,799,278,803,278,803.0,278.0
HZH8DYC7_lower_right,860,396,864,400,864.0,400.0
015WW8D6_lower_right,771,370,769,368,779.0,371.0
0169NHT6_upper_left,827,284,830,283,830.0,283.0
ANLLPLV7_upper_left,737,314,736,314,736.0,314.0
0145NKWZ_upper_right,841,269,842,272,842.0,272.0
KBGVMAF7_upper_left,801,232,803,233,813.0,240.0
01HMZ9RN_lower_right,784,343,785,345,785.0,345.0
01ETW4JZ_lower_left,842,338,843,337,843.0,337.0
013ZD6EX_upper_right,722,302,723,304,723.0,304.0
01FAYE3T_upper_right,767,279,765,280,765.0,280.0
0158T9ED_lower_right,827,352,830,351,830.0,351.0
BC0OWLNW_lower_left,817,412,816,411,816.0,411.0
015WW8D6_upper_left,723,261,728,259,729.0,259.0
01G1AKV2_lower_right,821,379,820,379,820.0,379.0
015WXFRN_upper_right,789,298,786,297,786.0,297.0
0158T9ED_upper_right,793,255,798,255,798.0,255.0
IHKL3Y8N_lower_left,790,375,789,376,790.0,376.0
4J24X0ES_lower_right,824,479,819,478,819.0,478.0
DEBDX44O_upper_left,855,361,856,364,856.0,364.0
01E5XG8Z_upper_right,785,280,787,282,787.0,282.0
013NXP1H_upper_right,730,255,732,255,732.0,255.0
0KIUZ4G5_lower_left,892,352,889,355,872.0,354.0
LGADV15G_lower_right,796,352,802,353,802.0,353.0
CBSF6Q84_lower_right,754,316,757,321,752.0,322.0
01ETW4JZ_upper_left,827,284,832,286,832.0,286.0
0148UTKX_upper_left,782,323,785,327,785.0,327.0
DEBDX44O_lower_right,842,525,840,523,840.0,523.0
013NXP1H_lower_left,817,353,816,357,816.0,357.0
E552BK9X_upper_right,819,248,821,252,821.0,252.0
0VFZZY32_lower_left,782,430,780,431,781.0,432.0
014ZTUSK_lower_left,816,350,816,351,816.0,351.0
01KRCSKD_upper_left,827,310,832,312,832.0,312.0
JJEIMAPR_lower_right,848,423,844,422,844.0,422.0
IHKL3Y8N_upper_left,768,309,770,311,770.0,311.0
56R9FBMK_lower_right,800,336,803,330,803.0,330.0
015WXFRN_upper_left,781,300,781,299,790.0,304.0
017UYAW4_upper_right,776,283,773,285,773.0,285.0
01J9RWK6_upper_right,730,307,737,311,739.0,311.0
013NUWYR_lower_right,818,234,811,235,818.0,236.0
01J1XXHR_lower_right,772,334,772,330,760.0,330.0
016XWJ8X_upper_right,828,320,834,326,834.0,326.0
01JH0154_upper_left,819,302,818,301,819.0,301.0
BC0OWLNW_lower_right,827,411,831,412,831.0,412.0
0KIUZ4G5_lower_right,905,357,900,353,900.0,353.0
9GSQBATD_upper_left,780,311,780,313,780.0,313.0
015KFJV6_upper_right,799,301,802,303,802.0,303.0
01J1XXHR_upper_left,780,289,778,292,777.0,292.0
KWWQJ60M_lower_left,787,351,780,349,780.0,349.0
B7JSFJPG_upper_left,780,324,779,328,779.0,328.0
5SD5BWLR_upper_left,781,284,781,287,781.0,287.0
LA67YYVJ_lower_right,799,440,793,436,803.0,440.0
01FURZ62_lower_left,785,314,791,317,791.0,317.0
KBGVMAF7_lower_left,832,351,839,349,839.0,349.0
014EZU5V_upper_right,789,283,791,285,791.0,285.0
J1A5FRQN_lower_left,799,446,805,447,805.0,447.0
9GSQBATD_lower_left,803,346,806,346,806.0,346.0
014JJ942_upper_left,779,278,772,278,770.0,278.0
9KDRM0A8_lower_right,728,339,724,335,724.0,335.0
LA67YYVJ_lower_left,781,430,774,429,783.0,432.0
01422MSK_lower_left,753,310,746,311,739.0,302.0
E552BK9X_lower_left,736,283,734,289,759.0,288.0
45UD35GC_upper_right,794,270,798,269,798.0,269.0
015SUFFX_lower_right,796,338,800,334,800.0,334.0
01FAYE3T_lower_right,770,365,763,365,772.0,367.0
9GSQBATD_upper_right,784,314,787,315,787.0,315.0
50O9GUWT_upper_right,807,248,807,252,807.0,252.0
01G1GYUF_lower_right,777,352,776,355,776.0,355.0
AEOQ4Q9Q_upper_left,794,277,798,278,798.0,278.0
KWWQJ60M_upper_left,759,272,761,274,761.0,274.0
01JZF0KX_lower_right,792,341,795,336,805.0,340.0
5SD5BWLR_upper_right,782,284,781,288,781.0,288.0
01JZF0KX_upper_right,725,280,728,283,728.0,283.0
HZH8DYC7_lower_left,855,389,856,392,856.0,392.0
0VFZZY32_upper_right,789,380,790,383,790.0,383.0
0AAQ6BO3_upper_left,803,279,805,280,805.0,280.0
DBNTTNY9_lower_right,863,383,856,379,866.0,385.0
ASUXPX7O_upper_right,753,269,755,268,755.0,268.0
E23G704K_lower_left,782,344,783,346,783.0,346.0
01HMZ9RN_upper_left,776,279,772,282,772.0,282.0
DBNTTNY9_upper_right,764,246,768,250,768.0,250.0
1419YTY4_lower_left,759,416,763,416,763.0,416.0
K9X2TVDE_upper_right,799,382,804,384,804.0,384.0
GNR6QR3P_lower_left,789,352,792,354,792.0,354.0
013FHA7K_upper_right,782,275,782,276,782.0,276.0
J1A5FRQN_upper_left,820,380,821,381,821.0,381.0
AEOQ4Q9Q_upper_right,796,272,801,273,801.0,273.0
ameziani_upper_left,855,352,854,354,854.0,354.0
015KFJV6_lower_left,818,316,818,320,818.0,320.0
01CCUKV4_upper_right,795,280,799,283,799.0,283.0
014EZU5V_upper_left,784,279,785,283,785.0,283.0
0KIUZ4G5_upper_left,869,243,873,246,873.0,246.0
01KRCSKD_lower_left,844,334,843,330,843.0,330.0
E23G704K_upper_right,786,298,789,298,789.0,298.0
01FX95TX_lower_left,775,306,774,307,774.0,307.0
5LP835GA_upper_left,798,385,804,387,804.0,387.0
