Filename,X_True,Y_True,X_Model,Y_Model,Euc_dist,mm_Dist
GNR6QR3P_lower_right,795.0,350.0,790.5030517578125,348.79998779296875,4.65,0.37
5LP835GA_upper_right,801.0,385.0,799.3599853515625,385.12249755859375,1.64,0.13
0191WKPV_lower_right,758.0,330.0,757.1722412109375,334.7200012207031,4.79,0.38
01E5XG8Z_lower_left,800.0,329.0,798.0799560546875,333.44000244140625,4.84,0.39
01ETW4JZ_upper_right,840.0,287.0,839.0399780273438,286.0799865722656,1.33,0.11
DEBDX44O_upper_right,843.0,373.0,857.6026611328125,377.1307373046875,15.18,1.21
01FURZ62_lower_right,769.0,312.0,782.719970703125,315.0751953125,14.06,1.12
EB6DQGAR_lower_right,835.0,408.0,832.761962890625,412.79998779296875,5.3,0.42
0145NKWZ_lower_left,848.0,352.0,849.2799682617188,351.3599853515625,1.43,0.11
MNIAB8K3_lower_left,792.0,336.0,791.6799926757812,341.1199951171875,5.13,0.41
0158T9ED_upper_left,800.0,255.0,799.3599853515625,256.6399841308594,1.76,0.14
013NXP1H_upper_left,776.0,268.0,780.1599731445312,270.7200012207031,4.97,0.4
9GSQBATD_lower_right,799.0,345.0,795.5199584960938,344.9599914550781,3.48,0.28
0AAQ6BO3_upper_right,803.0,278.0,801.9199829101562,278.9342956542969,1.43,0.11
HZH8DYC7_lower_right,864.0,400.0,860.7999877929688,400.0,3.2,0.26
015WW8D6_lower_right,779.0,371.0,773.760009765625,371.8399963378906,5.31,0.42
0169NHT6_upper_left,830.0,283.0,826.239990234375,281.07275390625,4.23,0.34
ANLLPLV7_upper_left,736.0,314.0,737.9199829101562,313.46533203125,1.99,0.16
0145NKWZ_upper_right,842.0,272.0,839.0399780273438,272.0407409667969,2.96,0.24
KBGVMAF7_upper_left,813.0,240.0,805.760009765625,234.87998962402344,8.87,0.71
01HMZ9RN_lower_right,785.0,345.0,785.2799682617188,344.9599914550781,0.28,0.02
01ETW4JZ_lower_left,843.0,337.0,839.0399780273438,341.1199951171875,5.71,0.46
013ZD6EX_upper_right,723.0,304.0,722.5599975585938,306.55999755859375,2.6,0.21
01FAYE3T_upper_right,765.0,280.0,769.9199829101562,278.3999938964844,5.17,0.41
0158T9ED_lower_right,830.0,351.0,826.239990234375,350.04400634765625,3.88,0.31
BC0OWLNW_lower_left,816.0,411.0,818.5599975585938,415.4109802246094,5.1,0.41
015WW8D6_upper_left,729.0,259.0,727.6799926757812,261.7599792480469,3.06,0.24
01G1AKV2_lower_right,820.0,379.0,822.3999633789062,380.79998779296875,3.0,0.24
015WXFRN_upper_right,786.0,297.0,789.1199951171875,300.1600036621094,4.44,0.36
0158T9ED_upper_right,798.0,255.0,796.7999877929688,256.6399841308594,2.03,0.16
IHKL3Y8N_lower_left,790.0,376.0,789.1199951171875,379.5199890136719,3.63,0.29
4J24X0ES_lower_right,819.0,478.0,824.9599609375,480.6399841308594,6.52,0.52
DEBDX44O_upper_left,856.0,364.0,855.698974609375,366.7615966796875,2.78,0.22
01E5XG8Z_upper_right,787.0,282.0,786.5599975585938,280.0782470703125,1.97,0.16
013NXP1H_upper_right,732.0,255.0,732.7999877929688,256.6399841308594,1.82,0.15
0KIUZ4G5_lower_left,872.0,354.0,894.0799560546875,352.6399841308594,22.12,1.77
LGADV15G_lower_right,802.0,353.0,799.3599853515625,351.3599853515625,3.11,0.25
CBSF6Q84_lower_right,752.0,322.0,753.2799682617188,318.1829833984375,4.03,0.32
01ETW4JZ_upper_left,832.0,286.0,826.239990234375,284.79998779296875,5.88,0.47
0148UTKX_upper_left,785.0,327.0,785.2799682617188,325.7599792480469,1.27,0.1
DEBDX44O_lower_right,840.0,523.0,841.5999755859375,529.477783203125,6.67,0.53
013NXP1H_lower_left,816.0,357.0,818.5599975585938,353.91998291015625,4.01,0.32
E552BK9X_upper_right,821.0,252.0,819.8399658203125,251.801025390625,1.18,0.09
0VFZZY32_lower_left,781.0,432.0,782.719970703125,431.10107421875,1.94,0.16
014ZTUSK_lower_left,816.0,351.0,817.2799682617188,350.07220458984375,1.58,0.13
01KRCSKD_upper_left,832.0,312.0,827.5199584960938,310.3999938964844,4.76,0.38
JJEIMAPR_lower_right,844.0,422.0,846.719970703125,423.6326904296875,3.17,0.25
IHKL3Y8N_upper_left,770.0,311.0,769.9199829101562,312.01116943359375,1.01,0.08
56R9FBMK_lower_right,803.0,330.0,800.6399536132812,335.72564697265625,6.19,0.5
015WXFRN_upper_left,790.0,304.0,782.719970703125,301.44000244140625,7.72,0.62
017UYAW4_upper_right,773.0,285.0,776.3200073242188,283.5199890136719,3.63,0.29
